case_id,scope_id,candidate_index,call_sequence,rule_id,execution_domain,candidate_record_identity_class,context_route,dispatcher_attempt_number,aggregator_attempt_number,returned_outcome,identity_checks
download_execution_permission:N=1:all_passed,download_execution_permission,-1,1,ADMIT_014,stage_global_once,stage_global_sentinel_identity,stage_authorization_context=caller_identity;others=None,1,0,passed,true
download_execution_permission:N=1:all_passed,download_execution_permission,0,2,ADMIT_001,candidate_scoped,candidate_record_identity,batch=caller_identity;stage_authorization=None,2,0,passed,true
download_execution_permission:N=1:all_passed,download_execution_permission,0,3,ADMIT_002,candidate_scoped,candidate_record_identity,stage_authorization=None,3,0,passed,true
download_execution_permission:N=1:all_passed,download_execution_permission,0,4,ADMIT_003,candidate_scoped,candidate_record_identity,stage_authorization=None,4,0,passed,true
download_execution_permission:N=1:all_passed,download_execution_permission,0,5,ADMIT_004,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,5,0,passed,true
download_execution_permission:N=1:all_passed,download_execution_permission,0,6,ADMIT_005,candidate_scoped,candidate_record_identity,stage_authorization=None,6,0,passed,true
download_execution_permission:N=1:all_passed,download_execution_permission,0,7,ADMIT_006,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,7,0,passed,true
download_execution_permission:N=1:all_passed,download_execution_permission,0,8,ADMIT_007,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,8,0,passed,true
download_execution_permission:N=1:all_passed,download_execution_permission,0,9,ADMIT_008,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,9,0,passed,true
download_execution_permission:N=1:all_passed,download_execution_permission,0,10,ADMIT_009,candidate_scoped,candidate_record_identity,batch=caller_identity;evaluation=candidate_identity;stage_authorization=None,10,0,passed,true
download_execution_permission:N=1:all_passed,download_execution_permission,0,11,ADMIT_011,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,11,0,passed,true
download_execution_permission:N=1:all_passed,download_execution_permission,0,12,,candidate_aggregator,not_applicable,ordered_vector_keyword_identity,11,1,passed,true
post_download_acceptance_permission:N=1:all_passed,post_download_acceptance_permission,-1,1,ADMIT_014,stage_global_once,stage_global_sentinel_identity,stage_authorization_context=caller_identity;others=None,1,0,passed,true
post_download_acceptance_permission:N=1:all_passed,post_download_acceptance_permission,0,2,ADMIT_001,candidate_scoped,candidate_record_identity,batch=caller_identity;stage_authorization=None,2,0,passed,true
post_download_acceptance_permission:N=1:all_passed,post_download_acceptance_permission,0,3,ADMIT_002,candidate_scoped,candidate_record_identity,stage_authorization=None,3,0,passed,true
post_download_acceptance_permission:N=1:all_passed,post_download_acceptance_permission,0,4,ADMIT_003,candidate_scoped,candidate_record_identity,stage_authorization=None,4,0,passed,true
post_download_acceptance_permission:N=1:all_passed,post_download_acceptance_permission,0,5,ADMIT_004,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,5,0,passed,true
post_download_acceptance_permission:N=1:all_passed,post_download_acceptance_permission,0,6,ADMIT_005,candidate_scoped,candidate_record_identity,stage_authorization=None,6,0,passed,true
post_download_acceptance_permission:N=1:all_passed,post_download_acceptance_permission,0,7,ADMIT_006,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,7,0,passed,true
post_download_acceptance_permission:N=1:all_passed,post_download_acceptance_permission,0,8,ADMIT_007,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,8,0,passed,true
post_download_acceptance_permission:N=1:all_passed,post_download_acceptance_permission,0,9,ADMIT_008,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,9,0,passed,true
post_download_acceptance_permission:N=1:all_passed,post_download_acceptance_permission,0,10,ADMIT_009,candidate_scoped,candidate_record_identity,batch=caller_identity;evaluation=candidate_identity;stage_authorization=None,10,0,passed,true
post_download_acceptance_permission:N=1:all_passed,post_download_acceptance_permission,0,11,ADMIT_011,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,11,0,passed,true
post_download_acceptance_permission:N=1:all_passed,post_download_acceptance_permission,0,12,ADMIT_012,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;download=candidate_identity;stage_authorization=None,12,0,passed,true
post_download_acceptance_permission:N=1:all_passed,post_download_acceptance_permission,0,13,ADMIT_013,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;download=candidate_identity;stage_authorization=None,13,0,passed,true
post_download_acceptance_permission:N=1:all_passed,post_download_acceptance_permission,0,14,,candidate_aggregator,not_applicable,ordered_vector_keyword_identity,13,1,passed,true
pre_final_split_acceptance_permission:N=1:all_passed,pre_final_split_acceptance_permission,-1,1,ADMIT_014,stage_global_once,stage_global_sentinel_identity,stage_authorization_context=caller_identity;others=None,1,0,passed,true
pre_final_split_acceptance_permission:N=1:all_passed,pre_final_split_acceptance_permission,0,2,ADMIT_001,candidate_scoped,candidate_record_identity,batch=caller_identity;stage_authorization=None,2,0,passed,true
pre_final_split_acceptance_permission:N=1:all_passed,pre_final_split_acceptance_permission,0,3,ADMIT_002,candidate_scoped,candidate_record_identity,stage_authorization=None,3,0,passed,true
pre_final_split_acceptance_permission:N=1:all_passed,pre_final_split_acceptance_permission,0,4,ADMIT_003,candidate_scoped,candidate_record_identity,stage_authorization=None,4,0,passed,true
pre_final_split_acceptance_permission:N=1:all_passed,pre_final_split_acceptance_permission,0,5,ADMIT_004,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,5,0,passed,true
pre_final_split_acceptance_permission:N=1:all_passed,pre_final_split_acceptance_permission,0,6,ADMIT_005,candidate_scoped,candidate_record_identity,stage_authorization=None,6,0,passed,true
pre_final_split_acceptance_permission:N=1:all_passed,pre_final_split_acceptance_permission,0,7,ADMIT_006,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,7,0,passed,true
pre_final_split_acceptance_permission:N=1:all_passed,pre_final_split_acceptance_permission,0,8,ADMIT_007,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,8,0,passed,true
pre_final_split_acceptance_permission:N=1:all_passed,pre_final_split_acceptance_permission,0,9,ADMIT_008,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,9,0,passed,true
pre_final_split_acceptance_permission:N=1:all_passed,pre_final_split_acceptance_permission,0,10,ADMIT_009,candidate_scoped,candidate_record_identity,batch=caller_identity;evaluation=candidate_identity;stage_authorization=None,10,0,passed,true
pre_final_split_acceptance_permission:N=1:all_passed,pre_final_split_acceptance_permission,0,11,ADMIT_010,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,11,0,passed,true
pre_final_split_acceptance_permission:N=1:all_passed,pre_final_split_acceptance_permission,0,12,ADMIT_011,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,12,0,passed,true
pre_final_split_acceptance_permission:N=1:all_passed,pre_final_split_acceptance_permission,0,13,ADMIT_012,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;download=candidate_identity;stage_authorization=None,13,0,passed,true
pre_final_split_acceptance_permission:N=1:all_passed,pre_final_split_acceptance_permission,0,14,ADMIT_013,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;download=candidate_identity;stage_authorization=None,14,0,passed,true
pre_final_split_acceptance_permission:N=1:all_passed,pre_final_split_acceptance_permission,0,15,,candidate_aggregator,not_applicable,ordered_vector_keyword_identity,14,1,passed,true
training_execution_admission_permission:N=1:all_passed,training_execution_admission_permission,-1,1,ADMIT_014,stage_global_once,stage_global_sentinel_identity,stage_authorization_context=caller_identity;others=None,1,0,passed,true
training_execution_admission_permission:N=1:all_passed,training_execution_admission_permission,-1,2,ADMIT_015,stage_global_once,stage_global_sentinel_identity,stage_authorization_context=caller_identity;others=None,2,0,passed,true
training_execution_admission_permission:N=1:all_passed,training_execution_admission_permission,0,3,ADMIT_001,candidate_scoped,candidate_record_identity,batch=caller_identity;stage_authorization=None,3,0,passed,true
training_execution_admission_permission:N=1:all_passed,training_execution_admission_permission,0,4,ADMIT_002,candidate_scoped,candidate_record_identity,stage_authorization=None,4,0,passed,true
training_execution_admission_permission:N=1:all_passed,training_execution_admission_permission,0,5,ADMIT_003,candidate_scoped,candidate_record_identity,stage_authorization=None,5,0,passed,true
training_execution_admission_permission:N=1:all_passed,training_execution_admission_permission,0,6,ADMIT_004,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,6,0,passed,true
training_execution_admission_permission:N=1:all_passed,training_execution_admission_permission,0,7,ADMIT_005,candidate_scoped,candidate_record_identity,stage_authorization=None,7,0,passed,true
training_execution_admission_permission:N=1:all_passed,training_execution_admission_permission,0,8,ADMIT_006,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,8,0,passed,true
training_execution_admission_permission:N=1:all_passed,training_execution_admission_permission,0,9,ADMIT_007,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,9,0,passed,true
training_execution_admission_permission:N=1:all_passed,training_execution_admission_permission,0,10,ADMIT_008,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,10,0,passed,true
training_execution_admission_permission:N=1:all_passed,training_execution_admission_permission,0,11,ADMIT_009,candidate_scoped,candidate_record_identity,batch=caller_identity;evaluation=candidate_identity;stage_authorization=None,11,0,passed,true
training_execution_admission_permission:N=1:all_passed,training_execution_admission_permission,0,12,ADMIT_010,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,12,0,passed,true
training_execution_admission_permission:N=1:all_passed,training_execution_admission_permission,0,13,ADMIT_011,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,13,0,passed,true
training_execution_admission_permission:N=1:all_passed,training_execution_admission_permission,0,14,ADMIT_012,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;download=candidate_identity;stage_authorization=None,14,0,passed,true
training_execution_admission_permission:N=1:all_passed,training_execution_admission_permission,0,15,ADMIT_013,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;download=candidate_identity;stage_authorization=None,15,0,passed,true
training_execution_admission_permission:N=1:all_passed,training_execution_admission_permission,0,16,,candidate_aggregator,not_applicable,ordered_vector_keyword_identity,15,1,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,-1,1,ADMIT_014,stage_global_once,stage_global_sentinel_identity,stage_authorization_context=caller_identity;others=None,1,0,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,-1,2,ADMIT_015,stage_global_once,stage_global_sentinel_identity,stage_authorization_context=caller_identity;others=None,2,0,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,0,3,ADMIT_001,candidate_scoped,candidate_record_identity,batch=caller_identity;stage_authorization=None,3,0,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,0,4,ADMIT_002,candidate_scoped,candidate_record_identity,stage_authorization=None,4,0,passed,true
