case_id,case_group,key_input_kind,key_input_display,batch_input_kind,batch_input_display,policy_input_kind,policy_input_display,expected_full_result,observed_full_result,committed_design_oracle_full_result,formal_expected_equality,formal_design_oracle_equality,case_passed
scalar_none,scalar,NoneType,NoneType:None,tuple,tuple:(),str,str:'covapie_duplicate_identity_key_contract_v1',"{""admission_rule_id"":""ADMIT_009"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_TYPE_INVALID"",""canonical_duplicate_identity_key"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_009"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_TYPE_INVALID"",""canonical_duplicate_identity_key"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_009"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_TYPE_INVALID"",""canonical_duplicate_identity_key"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[],""evaluator_io_used"":false}",true,true,true
scalar_integer,scalar,int,int:7,tuple,tuple:(),str,str:'covapie_duplicate_identity_key_contract_v1',"{""admission_rule_id"":""ADMIT_009"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_TYPE_INVALID"",""canonical_duplicate_identity_key"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_009"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_TYPE_INVALID"",""canonical_duplicate_identity_key"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_009"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_TYPE_INVALID"",""canonical_duplicate_identity_key"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[],""evaluator_io_used"":false}",true,true,true
scalar_str_subclass,scalar,_TruthStringSubclass,_TruthStringSubclass:'covapie_dup_v1_sha256_1111111111111111111111111111111111111111111111111111111111111111',tuple,tuple:(),str,str:'covapie_duplicate_identity_key_contract_v1',"{""admission_rule_id"":""ADMIT_009"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_TYPE_INVALID"",""canonical_duplicate_identity_key"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_009"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_TYPE_INVALID"",""canonical_duplicate_identity_key"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_009"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_TYPE_INVALID"",""canonical_duplicate_identity_key"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[],""evaluator_io_used"":false}",true,true,true
scalar_empty,scalar,str,str:'',tuple,tuple:(),str,str:'covapie_duplicate_identity_key_contract_v1',"{""admission_rule_id"":""ADMIT_009"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_EMPTY"",""canonical_duplicate_identity_key"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_009"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_EMPTY"",""canonical_duplicate_identity_key"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_009"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_EMPTY"",""canonical_duplicate_identity_key"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[],""evaluator_io_used"":false}",true,true,true
scalar_non_ascii,scalar,str,str:'covapie_dup_v1_sha256_éééééééééééééééééééééééééééééééééééééééééééééééééééééééééééééééé',tuple,tuple:(),str,str:'covapie_duplicate_identity_key_contract_v1',"{""admission_rule_id"":""ADMIT_009"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_NON_ASCII"",""canonical_duplicate_identity_key"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_009"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_NON_ASCII"",""canonical_duplicate_identity_key"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_009"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_NON_ASCII"",""canonical_duplicate_identity_key"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[],""evaluator_io_used"":false}",true,true,true
scalar_wrong_prefix,scalar,str,str:'covapie_dup_v2_sha256_1111111111111111111111111111111111111111111111111111111111111111',tuple,tuple:(),str,str:'covapie_duplicate_identity_key_contract_v1',"{""admission_rule_id"":""ADMIT_009"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_SYNTAX_INVALID"",""canonical_duplicate_identity_key"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_009"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_SYNTAX_INVALID"",""canonical_duplicate_identity_key"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_009"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_SYNTAX_INVALID"",""canonical_duplicate_identity_key"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[],""evaluator_io_used"":false}",true,true,true
scalar_uppercase_digest,scalar,str,str:'covapie_dup_v1_sha256_AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA',tuple,tuple:(),str,str:'covapie_duplicate_identity_key_contract_v1',"{""admission_rule_id"":""ADMIT_009"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_SYNTAX_INVALID"",""canonical_duplicate_identity_key"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_009"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_SYNTAX_INVALID"",""canonical_duplicate_identity_key"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_009"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_SYNTAX_INVALID"",""canonical_duplicate_identity_key"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[],""evaluator_io_used"":false}",true,true,true
scalar_short_digest,scalar,str,str:'covapie_dup_v1_sha256_111111111111111111111111111111111111111111111111111111111111111',tuple,tuple:(),str,str:'covapie_duplicate_identity_key_contract_v1',"{""admission_rule_id"":""ADMIT_009"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_SYNTAX_INVALID"",""canonical_duplicate_identity_key"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_009"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_SYNTAX_INVALID"",""canonical_duplicate_identity_key"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_009"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_SYNTAX_INVALID"",""canonical_duplicate_identity_key"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[],""evaluator_io_used"":false}",true,true,true
scalar_long_digest,scalar,str,str:'covapie_dup_v1_sha256_11111111111111111111111111111111111111111111111111111111111111111',tuple,tuple:(),str,str:'covapie_duplicate_identity_key_contract_v1',"{""admission_rule_id"":""ADMIT_009"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_SYNTAX_INVALID"",""canonical_duplicate_identity_key"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_009"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_SYNTAX_INVALID"",""canonical_duplicate_identity_key"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_009"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_SYNTAX_INVALID"",""canonical_duplicate_identity_key"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[],""evaluator_io_used"":false}",true,true,true
scalar_non_hex,scalar,str,str:'covapie_dup_v1_sha256_gggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggg',tuple,tuple:(),str,str:'covapie_duplicate_identity_key_contract_v1',"{""admission_rule_id"":""ADMIT_009"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_SYNTAX_INVALID"",""canonical_duplicate_identity_key"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_009"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_SYNTAX_INVALID"",""canonical_duplicate_identity_key"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_009"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_SYNTAX_INVALID"",""canonical_duplicate_identity_key"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[],""evaluator_io_used"":false}",true,true,true
