contract_item,contract_requirement,current_step_status,raw_content_read_current_step,contract_passed
min_included_candidates_10,future materialized allowlist should include at least 10 rows,future_materialization_rule_not_executed_current_step,False,True
max_included_candidates_30,future materialized allowlist should include at most 30 rows,future_materialization_rule_not_executed_current_step,False,True
shard_size_5,future shard size is fixed at 5,future_materialization_rule_not_executed_current_step,False,True
cys_sg_only,current reactive residue scope is CYS/SG only,future_materialization_rule_not_executed_current_step,False,True
known_restoration_template_required,known restoration template is required,future_materialization_rule_not_executed_current_step,False,True
covalent_bond_atom_pair_required,covalent bond atom pair is required,future_materialization_rule_not_executed_current_step,False,True
ligand_topology_required,ligand topology evidence is required,future_materialization_rule_not_executed_current_step,False,True
warhead_linker_scaffold_labels_required,warhead/linker/scaffold labels are required,future_materialization_rule_not_executed_current_step,False,True
canonical_mask_five_tasks_required,five canonical mask tasks are required,future_materialization_rule_not_executed_current_step,False,True
non_cys_excluded_current_phase,non-CYS candidates are excluded,future_materialization_rule_not_executed_current_step,False,True
duplicate_entity_flag_required,duplicates must be flagged,future_materialization_rule_not_executed_current_step,False,True
manual_review_required,manual review is required,future_materialization_rule_not_executed_current_step,False,True
