semantics_item,current_observed_state,currently_formally_defined,current_evidence_path,risk_if_left_implicit,required_for_encoding_contract,required_for_feature_semantics_audit,required_for_tensorization,required_for_model_integration,decision_made_current_audit,deferred_to_next_contract,verified
future canonical pair ordering,current rows visibly store residue atom then ligand atom; future order is not normative,false,data/derived/covalent_small/covapie_final_dataset_materialization_smoke_v0/final_dataset_index.csv,direction ambiguity,true,true,true,true,false,true,true
future serialization grammar,current values use two atom-name tokens separated by --,false,data/derived/covalent_small/covapie_final_dataset_materialization_smoke_v0/final_dataset_index.csv,ambiguous parsing,true,true,true,true,false,true,true
delimiter escaping or atom-name character boundary,no escaping contract is committed,false,data/derived/covalent_small/covapie_final_dataset_materialization_smoke_v0/final_dataset_index.csv,non-generic serialization,true,true,true,true,false,true,true
residue atom identity namespace,current producers expose mixed auth/label locator fields and atom names,false,data/derived/covalent_small/covapie_final_dataset_materialization_smoke_v0/final_dataset_index.csv,identity mismatch,true,true,true,true,false,true,true
ligand atom identity namespace,current producers expose atom names from explicit struct_conn evidence,false,data/derived/covalent_small/covapie_final_dataset_materialization_smoke_v0/final_dataset_index.csv,identity mismatch,true,true,true,true,false,true,true
chain residue index insertion code in pair identity,current serialized pair omits locator context,false,data/derived/covalent_small/covapie_final_dataset_materialization_smoke_v0/final_dataset_index.csv,cross-residue collision,true,true,true,true,false,true,true
altloc and model identity,not represented in current pair string,false,data/derived/covalent_small/covapie_final_dataset_materialization_smoke_v0/final_dataset_index.csv,ambiguous atom row,true,true,true,true,false,true,true
ligand comp ID in pair identity,present beside pair but absent from pair string,false,data/derived/covalent_small/covapie_final_dataset_materialization_smoke_v0/final_dataset_index.csv,cross-ligand collision,true,true,true,true,false,true,true
protein full-atom table row mapping,no mapping from pair string to protein table index,false,data/derived/covalent_small/covapie_final_dataset_materialization_smoke_v0/final_dataset_index.csv,cannot tensorize,true,false,true,true,false,true,true
pocket atom table row mapping,no mapping from pair string to pocket table index,false,data/derived/covalent_small/covapie_final_dataset_materialization_smoke_v0/final_dataset_index.csv,cannot tensorize,true,false,true,true,false,true,true
ligand atom table row mapping,no mapping from pair string to ligand table index,false,data/derived/covalent_small/covapie_final_dataset_materialization_smoke_v0/final_dataset_index.csv,cannot tensorize,true,true,true,true,false,true,true
atom-table row ordering stability,not audited for pair-index stability,false,data/derived/covalent_small/covapie_final_dataset_materialization_smoke_v0/final_dataset_index.csv,unstable indices,true,true,true,true,false,true,true
tensor index base,no index base is selected,false,data/derived/covalent_small/covapie_final_dataset_materialization_smoke_v0/final_dataset_index.csv,off-by-one errors,true,true,true,true,false,true,true
one zero many pair cardinality,current 11 rows each expose exactly one pair,false,data/derived/covalent_small/covapie_final_dataset_materialization_smoke_v0/final_dataset_index.csv,generic cardinality undefined,true,true,true,true,false,true,true
duplicate pair policy,duplicate serialized values occur across distinct events,false,data/derived/covalent_small/covapie_final_dataset_materialization_smoke_v0/final_dataset_index.csv,incorrect deduplication,true,true,true,true,false,true,true
conflicting explicit-bond policy,no conflict is observed in current 11 events,false,data/derived/covalent_small/covapie_final_dataset_materialization_smoke_v0/final_dataset_index.csv,fail-open conflict handling,true,true,true,true,false,true,true
missing or invalid pair policy,current canonical rows are non-empty and validated,false,data/derived/covalent_small/covapie_final_dataset_materialization_smoke_v0/final_dataset_index.csv,undefined masking or rejection,true,true,true,true,false,true,true
pair directionality and symmetry,current text is visibly ordered but future directionality is unspecified,false,data/derived/covalent_small/covapie_final_dataset_materialization_smoke_v0/final_dataset_index.csv,target mismatch,true,true,true,true,false,true,true
current Cys-SG compatibility,current scope is Cys-SG evidence with multiple ligand atom names,false,data/derived/covalent_small/covapie_final_dataset_materialization_smoke_v0/final_dataset_index.csv,backward incompatibility,true,true,false,true,false,true,true
label tensor shape,no pair label tensor exists,false,data/derived/covalent_small/covapie_final_dataset_materialization_smoke_v0/final_dataset_index.csv,shape incompatibility,true,true,true,true,false,true,true
label mask and loss-mask semantics,no pair loss-mask contract exists,false,data/derived/covalent_small/covapie_final_dataset_materialization_smoke_v0/final_dataset_index.csv,invalid loss contribution,true,true,true,true,false,true,true
negative or nonbond pair definition,only positive explicit-bond evidence is materialized,false,data/derived/covalent_small/covapie_final_dataset_materialization_smoke_v0/final_dataset_index.csv,undefined negatives,true,true,true,true,false,true,true
future pair-head target interface,only future auxiliary-task references exist,false,data/derived/covalent_small/covapie_final_dataset_materialization_smoke_v0/final_dataset_index.csv,model interface mismatch,true,true,true,true,false,true,true
checkpoint compatibility impact,no pair head or pair loss has been integrated,false,data/derived/covalent_small/covapie_final_dataset_materialization_smoke_v0/final_dataset_index.csv,checkpoint breakage,true,false,false,true,false,true,true
