source_order,source_relative_path,source_kind,boundary_necessity,tracked,base_tree_blob,filesystem_regular,non_symlink,expected_sha256,base_tree_sha256,filesystem_sha256,source_boundary_passed
1,src/covalent_ext/covapie_bulk_download_admission_admit_008_topology_restoration_disposition_enum_contract_design_gate.py,py,normative Exact4/Exact2 definitions and independent oracle identity,true,true,true,true,d4b2480e5d1cff17377fa0856eeac007629c4db1e5cdb413e4ea83771d08461d,d4b2480e5d1cff17377fa0856eeac007629c4db1e5cdb413e4ea83771d08461d,d4b2480e5d1cff17377fa0856eeac007629c4db1e5cdb413e4ea83771d08461d,true
2,data/derived/covalent_small/covapie_bulk_download_admission_admit_008_topology_restoration_disposition_enum_contract_design_gate_v1/covapie_admit_008_topology_restoration_disposition_enum_contract_manifest.json,json,"committed enum contract counts, precedence, readiness, and hashes",true,true,true,true,4da97951abe63d46ded0ad5ffc6048e1a1c40eb2fdedd3553de094ac1ad0c85b,4da97951abe63d46ded0ad5ffc6048e1a1c40eb2fdedd3553de094ac1ad0c85b,4da97951abe63d46ded0ad5ffc6048e1a1c40eb2fdedd3553de094ac1ad0c85b,true
3,data/derived/covalent_small/covapie_bulk_download_admission_admit_008_topology_restoration_disposition_enum_contract_design_gate_v1/covapie_admit_008_topology_restoration_disposition_enum_registry.csv,csv,ordered Exact4 registry and exact blocked-reason mapping,true,true,true,true,38e41ef09b62848e55e6d43fa2ee65ecc3b24378fd8ac9ca72fd2e313261556a,38e41ef09b62848e55e6d43fa2ee65ecc3b24378fd8ac9ca72fd2e313261556a,38e41ef09b62848e55e6d43fa2ee65ecc3b24378fd8ac9ca72fd2e313261556a,true
4,data/derived/covalent_small/covapie_bulk_download_admission_admit_008_topology_restoration_disposition_enum_contract_design_gate_v1/covapie_admit_008_topology_restoration_disposition_validation_truth_matrix.csv,csv,complete committed Exact38 semantic expectation corpus,true,true,true,true,d15cc2f468b158bdd0871386af041231f563af34ff394c2d25e8b5797fa3599b,d15cc2f468b158bdd0871386af041231f563af34ff394c2d25e8b5797fa3599b,d15cc2f468b158bdd0871386af041231f563af34ff394c2d25e8b5797fa3599b,true
5,data/derived/covalent_small/covapie_bulk_download_admission_admit_008_topology_restoration_disposition_enum_contract_design_gate_v1/covapie_admit_008_topology_restoration_disposition_category_mapping_matrix.csv,csv,Exact12 policy boundary with no real provider execution,true,true,true,true,f449e7441045f52a2222f70f2b7378446424ea46610859641ae2baf5e4565be4,f449e7441045f52a2222f70f2b7378446424ea46610859641ae2baf5e4565be4,f449e7441045f52a2222f70f2b7378446424ea46610859641ae2baf5e4565be4,true
6,data/derived/covalent_small/covapie_bulk_download_admission_admit_008_topology_restoration_disposition_enum_contract_design_gate_v1/covapie_admit_008_topology_restoration_disposition_issue_readiness_inventory.csv,csv,authoritative Exact11 successor issue inventory preservation baseline,true,true,true,true,229251600f0c6ae389633fff86af8859280b86664521ecce04c494906dc39695,229251600f0c6ae389633fff86af8859280b86664521ecce04c494906dc39695,229251600f0c6ae389633fff86af8859280b86664521ecce04c494906dc39695,true
7,data/derived/covalent_small/covapie_bulk_download_admission_admit_008_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_008_formal_evaluator_preconditions_manifest.json,json,historical precondition and zero-provider-value boundary,true,true,true,true,e93c43df4f64b6ce70c19c526546d3b1090c55f9150a944a76109ed0038cc136,e93c43df4f64b6ce70c19c526546d3b1090c55f9150a944a76109ed0038cc136,e93c43df4f64b6ce70c19c526546d3b1090c55f9150a944a76109ed0038cc136,true
8,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_007.py,py,current literal Exact7 runtime and absent ADMIT_008 registration,true,true,true,true,d9fb64a473de1c456115c871a10b06d16f80dac9dc04f87302e43cc01a40a0cd,d9fb64a473de1c456115c871a10b06d16f80dac9dc04f87302e43cc01a40a0cd,d9fb64a473de1c456115c871a10b06d16f80dac9dc04f87302e43cc01a40a0cd,true
9,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_007_v1/covapie_admit_001_to_007_runtime_manifest.json,json,current Exact7 runtime readiness and output boundary,true,true,true,true,0a4cb44812ff5398ffba9a077f1217db3da3624d870922eec87848b60091c96e,0a4cb44812ff5398ffba9a077f1217db3da3624d870922eec87848b60091c96e,0a4cb44812ff5398ffba9a077f1217db3da3624d870922eec87848b60091c96e,true
10,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_007_v1/covapie_admit_001_to_007_runtime_issue_inventory.csv,csv,current runtime Exact11 issue boundary cross-check,true,true,true,true,47de07417697808b044d30260f153ec7e5d46fb7c5b0e2c1f41187bcb09b89a0,47de07417697808b044d30260f153ec7e5d46fb7c5b0e2c1f41187bcb09b89a0,47de07417697808b044d30260f153ec7e5d46fb7c5b0e2c1f41187bcb09b89a0,true
11,src/covalent_ext/covapie_bulk_download_admission_admit_007_rule_logic_interface.py,py,mature ADMIT_007 standalone structural precedent,true,true,true,true,ce5cbf09765e8b12db162458ca9518d71d431b175f3225e5558a8b57fdd133f6,ce5cbf09765e8b12db162458ca9518d71d431b175f3225e5558a8b57fdd133f6,ce5cbf09765e8b12db162458ca9518d71d431b175f3225e5558a8b57fdd133f6,true
