matrix_order,matrix_group,case_id,authority_or_envelope,committed_evidence,authority_classification,current_observed_state,future_contract_requirement,completeness_status,implementation_blocking,blocking_reason,case_passed
1,current_evidence,AUTH_001,current_design_gate,Step14AT registry/manifest,authoritative,current gate grants no download permission,preserve current blocking fact,complete,false,,true
2,current_runtime,AUTH_002,Exact13 known-not-registered,Exact13 manifest/registry,authoritative,ADMIT_014 known and unregistered,do not register in this audit,complete,false,,true
3,routing_envelope,AUTH_003,successor envelope ownership,Step14AU-A stage context plus Exact13 dispatcher envelopes,authoritative,stage-scoped context identity known; exact evaluation_context versus stage_authorization_context ownership unresolved,freeze one exact successor envelope,incomplete,true,ADMIT_014_STAGE_AUTHORIZATION_ROUTING_RESPONSIBILITY_UNRESOLVED,true
4,current_safety,AUTH_004,no network/download/raw write,Step14AT/Exact13/QA safety,authoritative,all observed false,retain fail-closed boundary,complete,false,,true
5,candidate_model,AUTH_005,current_stage_constant_guard,Step14AU-A explicit context dependency,committed alternative rejected,rejected,must remain rejected without contract migration,complete,false,,true
6,candidate_model,AUTH_006,future_explicit_authorization_context,Step14AU-A executability/context contracts,authoritative inherited selection,selected with current_stage_download_authorized,preserve explicit-context model,complete,false,,true
7,envelope_source,AUTH_007,candidate_record,Step14AU-A empty candidate_field_dependencies,authoritative,forbidden as authorization source,remain forbidden,complete,false,,true
8,envelope_source,AUTH_008,batch_context,Step14AU-A empty batch_context_dependencies,authoritative,forbidden as authorization source,remain forbidden,complete,false,,true
9,envelope_source,AUTH_009,evaluation_context,Step14AU-A context identity and Exact13 envelope,authoritative,stage-scoped context identity known; exact successor envelope ownership unresolved,freeze ownership or forbid,incomplete,true,ADMIT_014_STAGE_AUTHORIZATION_ROUTING_RESPONSIBILITY_UNRESOLVED,true
10,envelope_source,AUTH_010,download_result_context,Step14AU-A stage-scoped dependency,authoritative,forbidden as authorization source,remain forbidden,complete,false,,true
11,envelope_source,AUTH_011,stage_authorization_context,Step14AU-A stage context plus Exact13 signature,authoritative,stage-scoped context identity known; exact successor envelope ownership unresolved,freeze ownership or forbid,incomplete,true,ADMIT_014_STAGE_AUTHORIZATION_ROUTING_RESPONSIBILITY_UNRESOLVED,true
12,authority,AUTH_012,explicit authority producer,none committed,absent,producer identity missing,freeze trusted producer/provenance,incomplete,true,ADMIT_014_AUTHORIZATION_EVIDENCE_SOURCE_UNRESOLVED,true
13,authority,AUTH_013,permission field name,Step14AU-A context contract,authoritative,current_stage_download_authorized,preserve exact field identity,complete,false,,true
14,authority,AUTH_014,permission vocabulary,none committed,absent,closed values missing,freeze exact type and values,incomplete,true,ADMIT_014_PERMISSION_VALUE_VOCABULARY_UNRESOLVED,true
15,precedence,AUTH_015,missing/invalid/contradiction,none committed,absent,precedence missing,freeze fail-closed reasons/order,incomplete,true,ADMIT_014_PERMISSION_TRANSITION_AND_PRECEDENCE_UNRESOLVED,true
16,enforcement,AUTH_016,cross-rule aggregation,Exact13 manifest,authoritative,not implemented,freeze enforcement dependency,incomplete,true,ADMIT_014_RUNTIME_ENFORCEMENT_WITHOUT_AGGREGATION_UNRESOLVED,true
17,enforcement,AUTH_017,caller-level mandatory download guard,no committed authority,absent,not implemented,freeze mandatory caller obligation,incomplete,true,ADMIT_014_RUNTIME_ENFORCEMENT_WITHOUT_AGGREGATION_UNRESOLVED,true
18,provider,AUTH_018,provider mapping,Exact13 manifest,authoritative,not implemented,remain unauthorized,incomplete,true,ADMIT_014_RUNTIME_ENFORCEMENT_WITHOUT_AGGREGATION_UNRESOLVED,true
19,authorization,AUTH_019,real download authorization,Step14AT/Exact13/QA,authoritative,false,requires explicit future gate,incomplete,true,ADMIT_014_RUNTIME_ENFORCEMENT_WITHOUT_AGGREGATION_UNRESOLVED,true
20,training,AUTH_020,training authorization,canonical QA/Exact13,authoritative,false with feature-semantics audit required,preserve training prohibition,complete,false,,true
