matrix_order,matrix_group,case_id,routing_condition,envelope_representation,lookup_count,lookup_order,candidate_key_access_count,formal_call_count,oracle_call_count,identity_preserved,expected_dispatch_code,expected_reason,expected_result_json,case_passed
1,routing_failure,batch_non_none,batch_context non-None,batch=object,0,,0,0,0,n/a,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_012_BATCH_CONTEXT_MUST_BE_NONE,,true
2,routing_failure,evaluation_non_mapping,evaluation_context non-Mapping,evaluation=None,0,,0,0,0,n/a,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_012_EVALUATION_CONTEXT_MAPPING_REQUIRED,,true
3,routing_failure,evaluation_missing_1,evaluation key missing: allowed_download_result_statuses,evaluation=instrumented_mapping,1,allowed_download_result_statuses,0,0,0,n/a,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_012_ALLOWED_DOWNLOAD_RESULT_STATUSES_REQUIRED,,true
4,routing_failure,evaluation_missing_2,evaluation key missing: successful_http_status_contract,evaluation=instrumented_mapping,2,allowed_download_result_statuses|successful_http_status_contract,0,0,0,n/a,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_012_SUCCESSFUL_HTTP_STATUS_CONTRACT_REQUIRED,,true
5,routing_failure,evaluation_missing_3,evaluation key missing: content_length_contract,evaluation=instrumented_mapping,3,allowed_download_result_statuses|successful_http_status_contract|content_length_contract,0,0,0,n/a,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_012_CONTENT_LENGTH_CONTRACT_REQUIRED,,true
6,routing_failure,evaluation_missing_4,evaluation key missing: sha256_format_contract,evaluation=instrumented_mapping,4,allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract,0,0,0,n/a,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_012_SHA256_FORMAT_CONTRACT_REQUIRED,,true
7,routing_failure,download_non_mapping,download_result_context non-Mapping,download=None,4,allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract,0,0,0,n/a,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_012_DOWNLOAD_RESULT_CONTEXT_MAPPING_REQUIRED,,true
8,routing_failure,stage_non_none,stage_authorization_context non-None,stage=object,4,allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract,0,0,0,n/a,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_012_STAGE_AUTHORIZATION_CONTEXT_MUST_BE_NONE,,true
9,candidate,candidate_non_mapping,candidate_record non-Mapping,candidate=object,4,allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract,0,0,0,n/a,,ADMIT_012_CANDIDATE_RECORD_MAPPING_INVALID,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_012"",""admission_rule_name"":""future_download_integrity_fields_required"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""ADMIT_012_CANDIDATE_RECORD_MAPPING_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""allowed_download_result_statuses"",""successful_http_status_contract"",""content_length_contract"",""sha256_format_contract""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_012_unified_adapter_v1""}",true
10,candidate,candidate_empty_mapping,candidate empty Mapping,candidate={},8,allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract|download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,0,1,1,true,,,,true
