safety_item,expected_executed,observed_executed,safety_passed
exact_source_reads,true,true,true
e1d_effective_matrix_validation,true,true,true
e1e1_reconciliation_design_validation,true,true,true
target_rule_dependency_overlay,true,true,true
target_field_contract_overlay,true,true,true
evidence_context_row_addition,true,true,true
issue_resolution_overlay,true,true,true
exact11_invariant_validation,true,true,true
raw_read,false,false,true
provenance_reference_dereference,false,false,true
parser_execution,false,false,true
provider_execution,false,false,true
evaluator_implementation,false,false,true
unified_rule_engine_integration,false,false,true
candidate_record_materialization,false,false,true
candidate_evaluation,false,false,true
admission_record_modification,false,false,true
sample_backfill,false,false,true
network,false,false,true
download,false,false,true
checkpoint,false,false,true
torch,false,false,true
numpy,false,false,true
rdkit,false,false,true
model_forward_loss_training,false,false,true
