truth_group,case_id,expected_outcome,observed_outcome,expected_reason,observed_reason,canonical_residue_name,validated_candidate_field_count,evidence_context_consumed,evaluator_io_used,truth_passed
passed,PASSED_001_ABSENT_CYS_SG,passed,passed,,,CYS,9,true,false,true
passed,PASSED_002_PRESENT_A,passed,passed,,,CYS,9,true,false,true
passed,PASSED_003_LOWERCASE_RESIDUE,passed,passed,,,CYS,9,true,false,true
passed,PASSED_004_GENERIC_SER_CA,passed,passed,,,SER,9,true,false,true
passed,PASSED_005_EXTRA_CANDIDATE_FIELD,passed,passed,,,CYS,9,true,false,true
passed,PASSED_006_MAPPING_SUBCLASS_PROXY,passed,passed,,,CYS,9,true,false,true
blocked,BLOCKED_001_UNKNOWN,blocked,blocked,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,CYS,9,true,false,true
blocked,BLOCKED_002_CONTEXT_MISSING,blocked,blocked,ADMIT_004_IDENTITY_EVIDENCE_CONTEXT_MISSING,ADMIT_004_IDENTITY_EVIDENCE_CONTEXT_MISSING,CYS,9,false,false,true
blocked,BLOCKED_003_PROVIDER,blocked,blocked,PROVIDER_BLOCKED,PROVIDER_BLOCKED,CYS,9,true,false,true
blocked,BLOCKED_004_FOUR_WAY,blocked,blocked,ADMIT_004_PRESENT_FOUR_WAY_EQUALITY_UNATTESTED,ADMIT_004_PRESENT_FOUR_WAY_EQUALITY_UNATTESTED,CYS,9,true,false,true
blocked,BLOCKED_005_QUOTE,blocked,blocked,COVALENT_RESIDUE_INSERTION_PRESENT_QUOTE_CLASS_UNVERIFIED,COVALENT_RESIDUE_INSERTION_PRESENT_QUOTE_CLASS_UNVERIFIED,CYS,9,true,false,true
blocked,BLOCKED_006_UNKNOWN_BEFORE_PROVIDER,blocked,blocked,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,CYS,9,true,false,true
blocked,BLOCKED_007_PROVIDER_BEFORE_ATTESTATIONS,blocked,blocked,PROVIDER_BLOCKED,PROVIDER_BLOCKED,CYS,9,true,false,true
candidate_invalid,CANDIDATE_INVALID_001_NON_MAPPING,invalid,invalid,ADMIT_004_CANDIDATE_RECORD_MAPPING_INVALID,ADMIT_004_CANDIDATE_RECORD_MAPPING_INVALID,,0,false,false,true
candidate_invalid,CANDIDATE_INVALID_002_MISSING_COVALENT_RESIDUE_NAME,invalid,invalid,ADMIT_004_CANDIDATE_FIELD_MISSING:covalent_residue_name,ADMIT_004_CANDIDATE_FIELD_MISSING:covalent_residue_name,,0,false,false,true
candidate_invalid,CANDIDATE_INVALID_003_MISSING_COVALENT_RESIDUE_CHAIN_ID,invalid,invalid,ADMIT_004_CANDIDATE_FIELD_MISSING:covalent_residue_chain_id,ADMIT_004_CANDIDATE_FIELD_MISSING:covalent_residue_chain_id,CYS,0,false,false,true
candidate_invalid,CANDIDATE_INVALID_004_MISSING_COVALENT_RESIDUE_INDEX,invalid,invalid,ADMIT_004_CANDIDATE_FIELD_MISSING:covalent_residue_index,ADMIT_004_CANDIDATE_FIELD_MISSING:covalent_residue_index,CYS,0,false,false,true
