contract_item_id,contract_area,requirement,expected_value,observed_value,contract_passed,blocking_reason
LIGCON_001,identity,semantic role,single structure-local PDBx/mmCIF-style chemical component identifier for one CovaPIE candidate record,single structure-local PDBx/mmCIF-style chemical component identifier for one CovaPIE candidate record,true,
LIGCON_002,type,exact Python str only,true,true,true,
LIGCON_003,syntax,ASCII only,true,true,true,
LIGCON_004,syntax,length bounds 1 through 32,true,true,true,
LIGCON_005,syntax,raw token regex,"^[A-Za-z0-9]{1,32}$","^[A-Za-z0-9]{1,32}$",true,
LIGCON_006,syntax,empty rejected,true,true,true,
LIGCON_007,syntax,all whitespace forms rejected,true,true,true,
LIGCON_008,normalization,no trimming,true,true,true,
LIGCON_009,type,no coercion,true,true,true,
LIGCON_010,normalization,uppercase canonicalization,JUG,JUG,true,
LIGCON_011,identity,case-insensitive canonical identity,true,true,true,
LIGCON_012,normalization,normalization idempotent,true,true,true,
LIGCON_013,syntax,mmCIF missing markers rejected,true,true,true,
LIGCON_014,identity,single component token,true,true,true,
LIGCON_015,syntax,component delimiters rejected,true,true,true,
LIGCON_016,provenance,producer supplies stable component ID,producer_responsibility,producer_responsibility,true,
LIGCON_017,boundary,evaluator does not generate token,no_generation,no_generation,true,
LIGCON_018,non_goal,no registry membership claim,not_claimed,not_claimed,true,
LIGCON_019,non_goal,no raw presence claim,not_claimed,not_claimed,true,
LIGCON_020,non_goal,no nonpolymer claim,not_claimed,not_claimed,true,
LIGCON_021,non_goal,no drug-likeness claim,not_claimed,not_claimed,true,
LIGCON_022,non_goal,no chemical equivalence claim,not_claimed,not_claimed,true,
LIGCON_023,non_goal,not candidate_record_id,distinct_identity,distinct_identity,true,
LIGCON_024,non_goal,not duplicate_identity_key,distinct_identity,distinct_identity,true,
LIGCON_025,non_goal,not ligand graph identity,distinct_identity,distinct_identity,true,
LIGCON_026,lineage,C2 predecessor validated,covapie_bulk_download_admission_candidate_record_id_semantics_integration_gate_v1,covapie_bulk_download_admission_candidate_record_id_semantics_integration_gate_v1,true,
LIGCON_027,readiness,design only,true,true,true,
LIGCON_028,readiness,integration pending,true,true,true,
LIGCON_029,safety,download not authorized,false,false,true,
LIGCON_030,safety,candidate materialization not performed,false,false,true,
LIGCON_031,safety,training not authorized,false,false,true,
LIGCON_032,mask_scope,five canonical masks including B3,true,true,true,
