source_order,source_relative_path,tracked_by_git,base_tree_blob,filesystem_regular,non_symlink,sha256_expected,sha256_base_tree,sha256_filesystem,source_verified
1,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_insertion_present_value_grammar_integration_gate_v1/covapie_covalent_residue_insertion_present_value_grammar_integrated_rule_matrix.csv,true,true,true,true,98e368781fe0c2bac6cd9123b0cbc49ffeecc8c1de577607ce9b4866c2b310d0,98e368781fe0c2bac6cd9123b0cbc49ffeecc8c1de577607ce9b4866c2b310d0,98e368781fe0c2bac6cd9123b0cbc49ffeecc8c1de577607ce9b4866c2b310d0,true
2,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_insertion_present_value_grammar_integration_gate_v1/covapie_covalent_residue_insertion_present_value_grammar_integrated_field_matrix.csv,true,true,true,true,bd319bd2e5931b316c8579259729a94029d117844b2ceabda717604dc1d4483b,bd319bd2e5931b316c8579259729a94029d117844b2ceabda717604dc1d4483b,bd319bd2e5931b316c8579259729a94029d117844b2ceabda717604dc1d4483b,true
3,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_insertion_present_value_grammar_integration_gate_v1/covapie_covalent_residue_insertion_present_value_grammar_integrated_context_matrix.csv,true,true,true,true,106f0080ef01c76983d594a039d12741dd29fd52cddb7fd2b205dcd75bd7e83b,106f0080ef01c76983d594a039d12741dd29fd52cddb7fd2b205dcd75bd7e83b,106f0080ef01c76983d594a039d12741dd29fd52cddb7fd2b205dcd75bd7e83b,true
4,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_insertion_present_value_grammar_integration_gate_v1/covapie_covalent_residue_insertion_present_value_grammar_integration_issue_inventory.csv,true,true,true,true,7cf0a9ff421ba987655c4dac4564c04dbaa854cd4f725b18136642f223762d30,7cf0a9ff421ba987655c4dac4564c04dbaa854cd4f725b18136642f223762d30,7cf0a9ff421ba987655c4dac4564c04dbaa854cd4f725b18136642f223762d30,true
5,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_insertion_present_value_grammar_integration_gate_v1/covapie_covalent_residue_insertion_present_value_grammar_integration_manifest.json,true,true,true,true,3b2a9a4c83d1dca999bc805ead8f3298fb75687034c4eae7595e2a5e22e26fa2,3b2a9a4c83d1dca999bc805ead8f3298fb75687034c4eae7595e2a5e22e26fa2,3b2a9a4c83d1dca999bc805ead8f3298fb75687034c4eae7595e2a5e22e26fa2,true
6,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_insertion_present_value_grammar_design_gate_v1/covapie_covalent_residue_insertion_present_value_grammar_contract.csv,true,true,true,true,bb4907d1b6580e0e2487d8839e01b718ebf904f2debc49c4df9d4716c18274be,bb4907d1b6580e0e2487d8839e01b718ebf904f2debc49c4df9d4716c18274be,bb4907d1b6580e0e2487d8839e01b718ebf904f2debc49c4df9d4716c18274be,true
7,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_insertion_present_value_grammar_design_gate_v1/covapie_covalent_residue_insertion_present_value_grammar_design_manifest.json,true,true,true,true,fa607b72c520310d831992c722f9bb930594b8cd95af89b3ad3d1c38274a8d19,fa607b72c520310d831992c722f9bb930594b8cd95af89b3ad3d1c38274a8d19,fa607b72c520310d831992c722f9bb930594b8cd95af89b3ad3d1c38274a8d19,true
8,src/covalent_ext/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_design_gate.py,true,true,true,true,8f86c22cb5f9154ddf3481f7976bfa964573f68427e63916c503ed9c68d71d98,8f86c22cb5f9154ddf3481f7976bfa964573f68427e63916c503ed9c68d71d98,8f86c22cb5f9154ddf3481f7976bfa964573f68427e63916c503ed9c68d71d98,true
9,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_design_gate_v1/covapie_admit_004_residue_identity_atom_name_semantics_contract.csv,true,true,true,true,a783a3d474a2ed4e5ff348ec54a73510f5f6f6fb9d1edcb45dc97108e5d09eff,a783a3d474a2ed4e5ff348ec54a73510f5f6f6fb9d1edcb45dc97108e5d09eff,a783a3d474a2ed4e5ff348ec54a73510f5f6f6fb9d1edcb45dc97108e5d09eff,true
10,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_design_gate_v1/covapie_admit_004_residue_identity_atom_name_truth_table.csv,true,true,true,true,a5c2d727b3178bd0e58643a1801780fa930cba2b89c14a058817ecb418753106,a5c2d727b3178bd0e58643a1801780fa930cba2b89c14a058817ecb418753106,a5c2d727b3178bd0e58643a1801780fa930cba2b89c14a058817ecb418753106,true
11,src/covalent_ext/covapie_bulk_download_admission_covalent_residue_locator_parser_provider_provenance_export_design_gate.py,true,true,true,true,b1a874e402180a361b6940541c95710797ed10cabfdb19f7426c0b04d0532537,b1a874e402180a361b6940541c95710797ed10cabfdb19f7426c0b04d0532537,b1a874e402180a361b6940541c95710797ed10cabfdb19f7426c0b04d0532537,true
12,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_parser_provider_provenance_export_design_gate_v1/covapie_covalent_residue_locator_parser_provider_export_contract.csv,true,true,true,true,8893ca769577e955319ea8b9abe411149206db562193b70928d58ce4afd0ba8c,8893ca769577e955319ea8b9abe411149206db562193b70928d58ce4afd0ba8c,8893ca769577e955319ea8b9abe411149206db562193b70928d58ce4afd0ba8c,true
13,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_parser_provider_provenance_export_design_gate_v1/covapie_covalent_residue_locator_parser_provider_provenance_export_design_manifest.json,true,true,true,true,aa6435381c90416ce9ded7e50afca166f33b29b4a268b230755bba0145680876,aa6435381c90416ce9ded7e50afca166f33b29b4a268b230755bba0145680876,aa6435381c90416ce9ded7e50afca166f33b29b4a268b230755bba0145680876,true
14,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_sidecar_integration_gate_v1/covapie_covalent_residue_locator_real_provider_integration_overlay.csv,true,true,true,true,cc4c5965083340a040e4e1fc531da03bd74471e20fdc521ce92464d1d359627a,cc4c5965083340a040e4e1fc531da03bd74471e20fdc521ce92464d1d359627a,cc4c5965083340a040e4e1fc531da03bd74471e20fdc521ce92464d1d359627a,true
15,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_sidecar_integration_gate_v1/covapie_covalent_residue_locator_real_provider_integration_evidence_audit.csv,true,true,true,true,c5efc4610762004829897064965bb4e06a1390d52c9f97254e66fbb1c7c899ec,c5efc4610762004829897064965bb4e06a1390d52c9f97254e66fbb1c7c899ec,c5efc4610762004829897064965bb4e06a1390d52c9f97254e66fbb1c7c899ec,true
