stage,previous_stage,row_type,step,cycle_index,mask_level,expected_target_atom_count,expected_context_atom_count,allowed,forbidden,stop_conditions,checkpoint_allowed,model_save_allowed,trainer_fit_allowed,training_step_allowed,source_modification_allowed,design_status,blocking_reasons
longer_no_checkpoint_training_dry_run_design_v0,few_step_training_dry_run_review_and_training_boundary_v0,schedule,1,1,A_warhead_only,12,92,instantiate one fresh in-memory model;build one AdamW optimizer;run fixed 12-step loop;compute masked loss;backward;optimizer.step;scalar logging;write csv/json/md reports only,trainer.fit;training_step;checkpoint loading;checkpoint saving;torch.save;model saving;archive writing;tensor dump writing;source modification;formal training;fine-tune,abort on non-finite loss;abort on loss_total_requires_grad=false;abort on non-finite gradients;abort on gradients all zero;abort on grad_nan_count > 0;abort on grad_inf_count > 0;abort on optimizer step failure;abort on non-finite parameter delta;abort on zero parameter delta;abort on post-step parameter NaN/Inf;abort on zero target mask;abort on unexpected mask level;abort on checkpoint/model artifact;abort on source modification,false,false,false,false,false,passed,
longer_no_checkpoint_training_dry_run_design_v0,few_step_training_dry_run_review_and_training_boundary_v0,schedule,2,1,B_linker_warhead,30,74,instantiate one fresh in-memory model;build one AdamW optimizer;run fixed 12-step loop;compute masked loss;backward;optimizer.step;scalar logging;write csv/json/md reports only,trainer.fit;training_step;checkpoint loading;checkpoint saving;torch.save;model saving;archive writing;tensor dump writing;source modification;formal training;fine-tune,abort on non-finite loss;abort on loss_total_requires_grad=false;abort on non-finite gradients;abort on gradients all zero;abort on grad_nan_count > 0;abort on grad_inf_count > 0;abort on optimizer step failure;abort on non-finite parameter delta;abort on zero parameter delta;abort on post-step parameter NaN/Inf;abort on zero target mask;abort on unexpected mask level;abort on checkpoint/model artifact;abort on source modification,false,false,false,false,false,passed,
longer_no_checkpoint_training_dry_run_design_v0,few_step_training_dry_run_review_and_training_boundary_v0,schedule,3,1,B2_scaffold_warhead,86,18,instantiate one fresh in-memory model;build one AdamW optimizer;run fixed 12-step loop;compute masked loss;backward;optimizer.step;scalar logging;write csv/json/md reports only,trainer.fit;training_step;checkpoint loading;checkpoint saving;torch.save;model saving;archive writing;tensor dump writing;source modification;formal training;fine-tune,abort on non-finite loss;abort on loss_total_requires_grad=false;abort on non-finite gradients;abort on gradients all zero;abort on grad_nan_count > 0;abort on grad_inf_count > 0;abort on optimizer step failure;abort on non-finite parameter delta;abort on zero parameter delta;abort on post-step parameter NaN/Inf;abort on zero target mask;abort on unexpected mask level;abort on checkpoint/model artifact;abort on source modification,false,false,false,false,false,passed,
longer_no_checkpoint_training_dry_run_design_v0,few_step_training_dry_run_review_and_training_boundary_v0,schedule,4,1,C_scaffold_linker_warhead,104,0,instantiate one fresh in-memory model;build one AdamW optimizer;run fixed 12-step loop;compute masked loss;backward;optimizer.step;scalar logging;write csv/json/md reports only,trainer.fit;training_step;checkpoint loading;checkpoint saving;torch.save;model saving;archive writing;tensor dump writing;source modification;formal training;fine-tune,abort on non-finite loss;abort on loss_total_requires_grad=false;abort on non-finite gradients;abort on gradients all zero;abort on grad_nan_count > 0;abort on grad_inf_count > 0;abort on optimizer step failure;abort on non-finite parameter delta;abort on zero parameter delta;abort on post-step parameter NaN/Inf;abort on zero target mask;abort on unexpected mask level;abort on checkpoint/model artifact;abort on source modification,false,false,false,false,false,passed,
longer_no_checkpoint_training_dry_run_design_v0,few_step_training_dry_run_review_and_training_boundary_v0,schedule,5,2,A_warhead_only,12,92,instantiate one fresh in-memory model;build one AdamW optimizer;run fixed 12-step loop;compute masked loss;backward;optimizer.step;scalar logging;write csv/json/md reports only,trainer.fit;training_step;checkpoint loading;checkpoint saving;torch.save;model saving;archive writing;tensor dump writing;source modification;formal training;fine-tune,abort on non-finite loss;abort on loss_total_requires_grad=false;abort on non-finite gradients;abort on gradients all zero;abort on grad_nan_count > 0;abort on grad_inf_count > 0;abort on optimizer step failure;abort on non-finite parameter delta;abort on zero parameter delta;abort on post-step parameter NaN/Inf;abort on zero target mask;abort on unexpected mask level;abort on checkpoint/model artifact;abort on source modification,false,false,false,false,false,passed,
longer_no_checkpoint_training_dry_run_design_v0,few_step_training_dry_run_review_and_training_boundary_v0,schedule,6,2,B_linker_warhead,30,74,instantiate one fresh in-memory model;build one AdamW optimizer;run fixed 12-step loop;compute masked loss;backward;optimizer.step;scalar logging;write csv/json/md reports only,trainer.fit;training_step;checkpoint loading;checkpoint saving;torch.save;model saving;archive writing;tensor dump writing;source modification;formal training;fine-tune,abort on non-finite loss;abort on loss_total_requires_grad=false;abort on non-finite gradients;abort on gradients all zero;abort on grad_nan_count > 0;abort on grad_inf_count > 0;abort on optimizer step failure;abort on non-finite parameter delta;abort on zero parameter delta;abort on post-step parameter NaN/Inf;abort on zero target mask;abort on unexpected mask level;abort on checkpoint/model artifact;abort on source modification,false,false,false,false,false,passed,
longer_no_checkpoint_training_dry_run_design_v0,few_step_training_dry_run_review_and_training_boundary_v0,schedule,7,2,B2_scaffold_warhead,86,18,instantiate one fresh in-memory model;build one AdamW optimizer;run fixed 12-step loop;compute masked loss;backward;optimizer.step;scalar logging;write csv/json/md reports only,trainer.fit;training_step;checkpoint loading;checkpoint saving;torch.save;model saving;archive writing;tensor dump writing;source modification;formal training;fine-tune,abort on non-finite loss;abort on loss_total_requires_grad=false;abort on non-finite gradients;abort on gradients all zero;abort on grad_nan_count > 0;abort on grad_inf_count > 0;abort on optimizer step failure;abort on non-finite parameter delta;abort on zero parameter delta;abort on post-step parameter NaN/Inf;abort on zero target mask;abort on unexpected mask level;abort on checkpoint/model artifact;abort on source modification,false,false,false,false,false,passed,
longer_no_checkpoint_training_dry_run_design_v0,few_step_training_dry_run_review_and_training_boundary_v0,schedule,8,2,C_scaffold_linker_warhead,104,0,instantiate one fresh in-memory model;build one AdamW optimizer;run fixed 12-step loop;compute masked loss;backward;optimizer.step;scalar logging;write csv/json/md reports only,trainer.fit;training_step;checkpoint loading;checkpoint saving;torch.save;model saving;archive writing;tensor dump writing;source modification;formal training;fine-tune,abort on non-finite loss;abort on loss_total_requires_grad=false;abort on non-finite gradients;abort on gradients all zero;abort on grad_nan_count > 0;abort on grad_inf_count > 0;abort on optimizer step failure;abort on non-finite parameter delta;abort on zero parameter delta;abort on post-step parameter NaN/Inf;abort on zero target mask;abort on unexpected mask level;abort on checkpoint/model artifact;abort on source modification,false,false,false,false,false,passed,
longer_no_checkpoint_training_dry_run_design_v0,few_step_training_dry_run_review_and_training_boundary_v0,schedule,9,3,A_warhead_only,12,92,instantiate one fresh in-memory model;build one AdamW optimizer;run fixed 12-step loop;compute masked loss;backward;optimizer.step;scalar logging;write csv/json/md reports only,trainer.fit;training_step;checkpoint loading;checkpoint saving;torch.save;model saving;archive writing;tensor dump writing;source modification;formal training;fine-tune,abort on non-finite loss;abort on loss_total_requires_grad=false;abort on non-finite gradients;abort on gradients all zero;abort on grad_nan_count > 0;abort on grad_inf_count > 0;abort on optimizer step failure;abort on non-finite parameter delta;abort on zero parameter delta;abort on post-step parameter NaN/Inf;abort on zero target mask;abort on unexpected mask level;abort on checkpoint/model artifact;abort on source modification,false,false,false,false,false,passed,
longer_no_checkpoint_training_dry_run_design_v0,few_step_training_dry_run_review_and_training_boundary_v0,schedule,10,3,B_linker_warhead,30,74,instantiate one fresh in-memory model;build one AdamW optimizer;run fixed 12-step loop;compute masked loss;backward;optimizer.step;scalar logging;write csv/json/md reports only,trainer.fit;training_step;checkpoint loading;checkpoint saving;torch.save;model saving;archive writing;tensor dump writing;source modification;formal training;fine-tune,abort on non-finite loss;abort on loss_total_requires_grad=false;abort on non-finite gradients;abort on gradients all zero;abort on grad_nan_count > 0;abort on grad_inf_count > 0;abort on optimizer step failure;abort on non-finite parameter delta;abort on zero parameter delta;abort on post-step parameter NaN/Inf;abort on zero target mask;abort on unexpected mask level;abort on checkpoint/model artifact;abort on source modification,false,false,false,false,false,passed,
