case_order,case_id,case_group,routing_condition,source_result_representation,oracle_result_representation,expected_unified_result_json,observed_unified_result_json,exact13_type_value_equality,case_passed
1,STAGE_NONE,business,valid five-envelope route,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_REQUIRED"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_REQUIRED"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_REQUIRED"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_REQUIRED"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",true,true
2,STAGE_OBJECT,business,valid five-envelope route,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",true,true
3,STAGE_EMPTY,business,valid five-envelope route,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_MISSING"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_MISSING"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_MISSING"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_MISSING"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",true,true
4,STAGE_KEYERROR,business,valid five-envelope route,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_MISSING"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_MISSING"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_MISSING"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_MISSING"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",true,true
5,STAGE_RUNTIMEERROR,business,valid five-envelope route,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",true,true
6,STAGE_VALUEERROR,business,valid five-envelope route,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",true,true
7,TYPE_INT_ZERO,exact_bool_negative,valid five-envelope route,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",true,true
8,TYPE_INT_ONE,exact_bool_negative,valid five-envelope route,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",true,true
9,TYPE_STRING_FALSE,exact_bool_negative,valid five-envelope route,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",true,true
10,TYPE_STRING_TRUE,exact_bool_negative,valid five-envelope route,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",true,true
