readiness_decision_item,decision,reason,ready_current_step,required_next_gate,readiness_decision_passed
coordinate_tensor_candidate_ready_for_design_only,candidate_for_future_design_only,derived coordinate path refs and row counts exist; no tensor smoke yet,True,covapie_feature_semantics_resolution_design_gate,True
atom_feature_tensorization_not_ready,not_ready,atom feature semantics not training-final,False,covapie_feature_semantics_resolution_design_gate,True
mask_boolean_tensorization_not_ready,not_ready,group labels not materialized,False,covapie_feature_semantics_resolution_design_gate,True
auxiliary_label_tensorization_not_ready,not_ready,auxiliary labels not materialized or not training-final,False,covapie_feature_semantics_resolution_design_gate,True
unknown_atom_policy_not_ready,not_ready,unknown atom policy not finalized,False,covapie_feature_semantics_resolution_design_gate,True
batch_collate_tensorization_not_ready,not_ready,tensor shape/dtype/collate policy requires future gate,False,covapie_feature_semantics_resolution_design_gate,True
checkpoint_runtime_not_ready,not_ready,checkpoint compatibility cannot be run before tensorization policy,False,covapie_checkpoint_compatibility_smoke_before_model_runtime,True
model_forward_not_ready,not_ready,model forward requires checkpoint-compatible tensor batch,False,covapie_model_forward_smoke_after_checkpoint_compatibility,True
actual_dataloader_adapter_smoke_not_ready,not_ready,feature semantics blockers still active,False,covapie_feature_semantics_resolution_design_gate,True
formal_training_not_ready,not_ready,"feature semantics, leakage/split, checkpoint, forward, and loss gates remain required",False,formal_training_feature_semantics_audit,True
