safety_item,expected_executed,observed_executed,safety_passed
exact_source_reads,true,true,true
phase1_contract_validation,true,true,true
unified_result_runtime_implementation,true,true,true
dispatch_error_runtime_implementation,true,true,true
immutable_registry_runtime_implementation,true,true,true
admit_004_adapter_implementation,true,true,true
single_rule_dispatch_implementation,true,true,true
explicit_context_routing_validation,true,true,true
candidate_projection_validation,true,true,true
synthetic_admit_004_evaluator_execution,true,true,true
synthetic_dispatch_truth_matrix_evaluation,true,true,true
issue_inventory_preservation,true,true,true
raw_read,false,false,true
provenance_reference_dereference,false,false,true
parser_execution,false,false,true
provider_execution,false,false,true
legacy_evaluator_adapter_implementation,false,false,true
admit_001_to_003_evaluator_execution,false,false,true
admit_005_to_015_evaluator_execution,false,false,true
evaluate_all_rules_implementation,false,false,true
combined_candidate_verdict_implementation,false,false,true
cross_rule_aggregation,false,false,true
candidate_record_materialization,false,false,true
real_candidate_evaluation,false,false,true
exact11_real_evaluation,false,false,true
admission_record_modification,false,false,true
sample_backfill,false,false,true
network,false,false,true
download,false,false,true
checkpoint,false,false,true
torch,false,false,true
numpy,false,false,true
rdkit,false,false,true
model_forward_loss_training,false,false,true
