blocker_item,current_status,required_future_resolution,blocks_actual_tensor_dataloader_smoke,blocks_training,blocker_contract_passed
feature_semantics_known_for_training_false,feature_semantics_known_for_training=false,feature semantics tensorization audit gate,True,True,True
unknown_atom_feature_policy_finalized_for_training_false,unknown_atom_feature_policy_finalized_for_training=false,unknown atom policy resolution,True,True,True
protein_atom_feature_schema_not_training_final,not_training_final,protein atom feature schema finalization,True,True,True
ligand_atom_feature_schema_not_training_final,not_training_final,ligand atom feature schema finalization,True,True,True
scaffold_linker_warhead_labels_not_materialized,not_materialized,group label materialization gate,True,True,True
warhead_type_labels_not_materialized,not_materialized,warhead type label materialization gate,True,True,True
covalent_atom_pair_labels_not_training_final,not_training_final,covalent atom-pair label audit,True,True,True
pre_post_geometry_labels_not_training_final,not_training_final,pre/post geometry label audit,True,True,True
actual_tensor_dataloader_smoke_blocked_by_feature_semantics,blocked,feature semantics tensorization audit gate,True,True,True
formal_training_requires_feature_semantics_audit,blocked,formal training feature semantics audit,True,True,True
