truth_group,case_id,execution_kind,expected_outcome,observed_outcome,expected_error_code,observed_error_code,expected_reason,observed_reason,passed,blocks_candidate,evaluator_io_used,truth_passed
passed,A001_PASS_LIST,rule_result,passed,passed,,,,,true,false,false,true
passed,A001_PASS_TUPLE,rule_result,passed,passed,,,,,true,false,false,true
blocked,A001_BLOCK_MISSING,rule_result,blocked,blocked,,,candidate_record_id_missing_from_batch,candidate_record_id_missing_from_batch,false,true,false,true
blocked,A001_BLOCK_REPEATED,rule_result,blocked,blocked,,,candidate_record_id_repeated_in_batch,candidate_record_id_repeated_in_batch,false,true,false,true
blocked,A001_BLOCK_GLOBAL_DUPLICATE,rule_result,blocked,blocked,,,batch_candidate_record_ids_not_globally_unique,batch_candidate_record_ids_not_globally_unique,false,true,false,true
invalid_rule_result,A001_INVALID_TYPE,rule_result,invalid,invalid,,,candidate_record_id_not_exact_str,candidate_record_id_not_exact_str,false,true,false,true
invalid_rule_result,A001_INVALID_EMPTY,rule_result,invalid,invalid,,,candidate_record_id_empty,candidate_record_id_empty,false,true,false,true
invalid_rule_result,A001_INVALID_NON_ASCII,rule_result,invalid,invalid,,,candidate_record_id_non_ascii,candidate_record_id_non_ascii,false,true,false,true
invalid_rule_result,A001_INVALID_LENGTH,rule_result,invalid,invalid,,,candidate_record_id_length_out_of_range,candidate_record_id_length_out_of_range,false,true,false,true
invalid_rule_result,A001_INVALID_PATTERN,rule_result,invalid,invalid,,,candidate_record_id_pattern_invalid,candidate_record_id_pattern_invalid,false,true,false,true
invalid_rule_result,A001_INVALID_NON_MAPPING,rule_result,invalid,invalid,,,ADMIT_001_CANDIDATE_RECORD_MAPPING_INVALID,ADMIT_001_CANDIDATE_RECORD_MAPPING_INVALID,false,true,false,true
invalid_rule_result,A001_INVALID_MISSING_FIELD,rule_result,invalid,invalid,,,ADMIT_001_CANDIDATE_FIELD_MISSING:candidate_record_id,ADMIT_001_CANDIDATE_FIELD_MISSING:candidate_record_id,false,true,false,true
