source_path,BASE_SHA256,source_row_count,Current11_coverage,fields_actually_used,authority_class,verified
src/covalent_ext/covapie_cys_sg_candidate_warhead_smarts_materialization_gate_design_v1.py,5e57b0179b4f72782ea91b1945749121b32feaa1a9858d894c70bebca3f3c169,1824,11/11,inherited Exact22 proposal constants and validation contract,predecessor_production_contract,true
data/derived/covalent_small/covapie_cys_sg_candidate_warhead_smarts_materialization_gate_design_v1/covapie_candidate_warhead_smarts_materialization_gate_design_manifest.json,776b5097f6dafc4efee48178b3046ccce19c1bb084bc8be876b558ad7a184d7b,1,7/7;11/11,"transaction, proposal readiness, frozen fields/status/hash contract",predecessor_manifest,true
data/derived/covalent_small/covapie_cys_sg_candidate_warhead_smarts_materialization_gate_design_v1/covapie_current7_candidate_warhead_smarts_materialization_readiness_matrix.csv,f4ee281ae0bcc68563c83f20e110fa0bd5ea35567590cb9c8e9045b3374596c8,7,7/7,proposal materialization readiness and closed downstream gates,predecessor_readiness,true
data/derived/covalent_small/covapie_cys_sg_candidate_warhead_smarts_materialization_gate_design_v1/covapie_candidate_warhead_smarts_contract_registry.csv,ccda94bdd2b94bf3b0ac1cef842e05f01166f89c3749eb2c9e123cad3c6b6efa,16,7/7,"atom-set, boundary, approval, and downstream contracts",predecessor_contract_registry,true
data/derived/covalent_small/covapie_cys_sg_candidate_warhead_smarts_materialization_gate_design_v1/covapie_candidate_warhead_smarts_input_authority_gap_matrix.csv,db146ef364acdb8d922ada27739caad646ff731b465fd1ba27a2ddadd35c20ec,49,7/7,unresolved complete-authority and SMARTS prerequisites,predecessor_gap_evidence,true
data/derived/covalent_small/covapie_cys_sg_candidate_warhead_smarts_materialization_gate_design_v1/covapie_candidate_warhead_smarts_materialization_gate_failure_matrix.csv,5376fff50533003188b028e4e7e4343cda883bc358ed60c69f00998225af0609,32,7/7,predecessor fail-closed evidence,predecessor_failure_evidence,true
data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_assignments_v1/covapie_current11_cys_sg_candidate_assignment_authority.csv,bc49e2f1ca112ceae30c91fa492386f6012c9005fc5137b40d3daec2343ef5d9,11,11/11,sample/class/rule/family/reactive atom/graph and assignment SHA,assignment_authority,true
data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_assignments_v1/covapie_cys_sg_warhead_type_candidate_class_vocabulary.csv,e78b83340d9df0afa6bbffd5dc56708ee47023680367f7a8acd9883e7c21602d,7,7/7,"class identities, links, and support counts",candidate_class_authority,true
data/derived/covalent_small/covapie_cys_sg_reaction_family_and_warhead_rule_registry_design_v1/covapie_cys_sg_warhead_rule_registry.csv,3311aaca925e29036b702822bd85fbaf4e2c3a02c9b7882d255956c65cd02309,7,7/7,radius-1 graph JSON/SHA and leaving-group contract,warhead_rule_authority,true
data/derived/covalent_small/covapie_exact9_audited_local_ccd_parent_graph_authority_v1/covapie_exact9_parent_heavy_atom_authority.csv,d50b052c2ed2573ccfdcf66470a077744ad11f4a083daee11f20d794b3b23fe7,298,11/11;9/9 components,parent atom IDs/elements/charges/graph SHA/verified,parent_atom_authority,true
data/derived/covalent_small/covapie_exact9_audited_local_ccd_parent_graph_authority_v1/covapie_exact9_parent_heavy_bond_authority.csv,26957b9f78217c808d2dc021cfab1a2bf78dd1708c46c49f220ae32a3a09ebbf,309,11/11;9/9 components,parent endpoints/orders/graph SHA/verified,parent_bond_authority,true
data/derived/covalent_small/covapie_current11_observed_to_parent_atom_projection_authority_v1/covapie_current11_observed_to_parent_atom_mapping_authority.csv,f803e0c5fb2585c8dae31dbff254749496f897f4bf9a5103455c6c675a132a1e,323,11/11,reactive mapping and retained-vs-leaving parent evidence,observed_parent_mapping_authority,true
data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_review_packages_v1/covapie_current11_cys_sg_reaction_family_and_warhead_rule_review_packages_manifest.json,677034c0b8822e0b1476e28d00bb8dda5c8e53f5f42fcda790d9c4a81fa8a90b,1,11/11,review-package predecessor transaction state,review_package_manifest,true
data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_review_packages_v1/covapie_review_package_index.csv,b62a9d884b08b3b5132f64ca33531497343f208925e3a64eadd7980eee0d341f,18,18/18,class/sample package links and unreviewed state,review_package_index,true
data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_review_packages_v1/covapie_cys_sg_candidate_class_review_record_templates.csv,596e218d1d29e16d65edfa1c804b63a528668ffc4083d4089427eda556f37ce1,7,7/7,blank class review decisions/reviewer/SMARTS,blank_class_review_templates,true
data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_review_packages_v1/covapie_current11_sample_assignment_review_record_templates.csv,662e95d3403a694da15dedd60dbdb81f98a9e404533693643b3721cd83a18bc1,11,11/11,blank sample decisions/reviewer and assignment SHA,blank_sample_review_templates,true
