tensorization_item,source_or_policy,future_tensor_or_metadata_key,feature_semantics_requirement,current_step_status,blocked_before_actual_tensor_smoke,tensorization_input_contract_passed
protein_xyz_from_derived_atom_table,protein_pocket_atom_table_path,protein_xyz,coordinate frame/unit audit must be resolved,future_coordinate_candidate_only,False,True
ligand_xyz_from_derived_atom_table,ligand_atom_table_path,ligand_xyz,coordinate frame/unit audit must be resolved,future_coordinate_candidate_only,False,True
protein_atom_feature_semantics_blocked,feature semantics audit,protein_atom_features,protein atom feature semantics not training-final,blocked_by_feature_semantics,True,True
ligand_atom_feature_semantics_blocked,feature semantics audit,ligand_atom_features,ligand atom feature semantics not training-final,blocked_by_feature_semantics,True,True
unknown_atom_feature_policy_blocked,feature semantics audit,unknown_atom_feature_policy,unknown atom policy not finalized,blocked_by_feature_semantics,True,True
mask_task_name_as_string_selector,mask_task_name,mask_task_name,string selector can remain metadata before tensorization,metadata_selector_only,False,True
mask_boolean_tensor_blocked_until_group_labels,group label materialization,mask_boolean_tensor,group labels not materialized for tensor mask,blocked_until_group_labels,True,True
scaffold_linker_warhead_labels_blocked,group label materialization,scaffold_linker_warhead_labels,group labels not materialized,blocked_until_group_labels,True,True
warhead_type_label_blocked,auxiliary label semantics,warhead_type_label,warhead type label not training-final,blocked_by_feature_semantics,True,True
covalent_atom_pair_label_blocked,auxiliary label semantics,covalent_atom_pair_label,covalent atom pair label not training-final,blocked_by_feature_semantics,True,True
covalent_bond_distance_metadata_only,covalent_bond_distance_angstrom,covalent_bond_distance_angstrom,distance is metadata until tensorization audit,metadata_only,False,True
pre_covalent_geometry_blocked,geometry semantics audit,pre_covalent_geometry,pre/post geometry labels not training-final,blocked_by_feature_semantics,True,True
batch_index_tensor_blocked,future collate policy,batch_index,torch collate gate required,blocked_current_step,True,True
torch_tensor_creation_blocked_current_step,current execution boundary,all_tensor_outputs,no tensor creation in design gate,blocked_current_step,True,True
