case_id,case_group,behavior,expected_dispatch_code,expected_reason,source_exact10_json,oracle_exact10_json,unified_exact13_json,formal_call_count,oracle_call_count,case_passed
STANDALONE_CASE_001_canonical_structure_bond,standalone_exact37,exact10_to_exact13,,,"{""admission_rule_id"":""ADMIT_007"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_covalent_event_evidence_source"":""explicit_structure_bond_record"",""validated_candidate_fields"":[[""covalent_event_evidence_source"",""explicit_structure_bond_record""]],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_covalent_event_evidence_source"":""explicit_structure_bond_record"",""validated_candidate_fields"":[[""covalent_event_evidence_source"",""explicit_structure_bond_record""]],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_007"",""admission_rule_name"":""distance_only_inference_forbidden"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""covalent_event_evidence_source"",""explicit_structure_bond_record""]],""validated_candidate_fields"":[[""covalent_event_evidence_source"",""explicit_structure_bond_record""]],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_007_unified_adapter_v1""}",1,1,true
STANDALONE_CASE_002_canonical_curated_annotation,standalone_exact37,exact10_to_exact13,,,"{""admission_rule_id"":""ADMIT_007"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_covalent_event_evidence_source"":""explicit_curated_covalent_annotation"",""validated_candidate_fields"":[[""covalent_event_evidence_source"",""explicit_curated_covalent_annotation""]],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_covalent_event_evidence_source"":""explicit_curated_covalent_annotation"",""validated_candidate_fields"":[[""covalent_event_evidence_source"",""explicit_curated_covalent_annotation""]],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_007"",""admission_rule_name"":""distance_only_inference_forbidden"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""covalent_event_evidence_source"",""explicit_curated_covalent_annotation""]],""validated_candidate_fields"":[[""covalent_event_evidence_source"",""explicit_curated_covalent_annotation""]],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_007_unified_adapter_v1""}",1,1,true
STANDALONE_CASE_003_canonical_distance_only,standalone_exact37,exact10_to_exact13,,DISTANCE_ONLY_INFERENCE_NOT_ADMISSIBLE,"{""admission_rule_id"":""ADMIT_007"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""DISTANCE_ONLY_INFERENCE_NOT_ADMISSIBLE"",""canonical_covalent_event_evidence_source"":""distance_only_inference"",""validated_candidate_fields"":[[""covalent_event_evidence_source"",""distance_only_inference""]],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""DISTANCE_ONLY_INFERENCE_NOT_ADMISSIBLE"",""canonical_covalent_event_evidence_source"":""distance_only_inference"",""validated_candidate_fields"":[[""covalent_event_evidence_source"",""distance_only_inference""]],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_007"",""admission_rule_name"":""distance_only_inference_forbidden"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""DISTANCE_ONLY_INFERENCE_NOT_ADMISSIBLE"",""normalized_values"":[[""covalent_event_evidence_source"",""distance_only_inference""]],""validated_candidate_fields"":[[""covalent_event_evidence_source"",""distance_only_inference""]],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_007_unified_adapter_v1""}",1,1,true
STANDALONE_CASE_004_type_none,standalone_exact37,exact10_to_exact13,,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,"{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_007"",""admission_rule_name"":""distance_only_inference_forbidden"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_007_unified_adapter_v1""}",1,1,true
STANDALONE_CASE_005_type_int,standalone_exact37,exact10_to_exact13,,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,"{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_007"",""admission_rule_name"":""distance_only_inference_forbidden"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_007_unified_adapter_v1""}",1,1,true
STANDALONE_CASE_006_type_bool,standalone_exact37,exact10_to_exact13,,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,"{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_007"",""admission_rule_name"":""distance_only_inference_forbidden"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_007_unified_adapter_v1""}",1,1,true
STANDALONE_CASE_007_type_str_subclass,standalone_exact37,exact10_to_exact13,,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,"{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_007"",""admission_rule_name"":""distance_only_inference_forbidden"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_007_unified_adapter_v1""}",1,1,true
STANDALONE_CASE_008_type_list,standalone_exact37,exact10_to_exact13,,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,"{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_007"",""admission_rule_name"":""distance_only_inference_forbidden"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_007_unified_adapter_v1""}",1,1,true
STANDALONE_CASE_009_type_mapping,standalone_exact37,exact10_to_exact13,,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,"{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_007"",""admission_rule_name"":""distance_only_inference_forbidden"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_007_unified_adapter_v1""}",1,1,true
STANDALONE_CASE_010_empty,standalone_exact37,exact10_to_exact13,,COVALENT_EVENT_EVIDENCE_SOURCE_EMPTY,"{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_EMPTY"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_EMPTY"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_007"",""admission_rule_name"":""distance_only_inference_forbidden"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_EMPTY"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_007_unified_adapter_v1""}",1,1,true
