policy_item,policy_description,policy_contract_passed
sample_preparation_execution_smoke_only,This step writes small pilot sample preparation smoke outputs.,True
raw_read_allowed_current_step,Ignored raw CIF/mmCIF read is allowed in this step.,True
struct_conn_and_atom_site_parse_allowed_current_step,struct_conn and atom_site parsing are allowed in this step.,True
atom_tables_are_smoke_outputs_not_training_samples,"Atom tables are smoke outputs, not training samples.",True
no_sample_index_current_step,No sample index is written.,True
no_final_dataset_current_step,No final dataset is written.,True
no_split_or_leakage_current_step,No split or leakage matrix is written.,True
no_dataloader_smoke_current_step,No dataloader smoke is written.,True
feature_semantics_audit_required_before_training,Feature semantics audit remains required before training.,True
leakage_split_gate_required_before_training,Leakage/split gate remains required before training.,True
canonical_five_masks_preserved,The canonical five mask tasks are preserved.,True
do_not_train_from_execution_smoke_outputs,Execution smoke outputs must not be used for training.,True
