case_id,failure_case,mutation_signature,validator_target,test_node_id,expected_error,fails_closed,verified
X01,binding_predecessor_not_formal_commit,binding_commit=substituted_sha,source_state,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X01],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X02,binding_conclusion_not_C,binding_conclusion=authoritative,source_state,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X02],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X03,unique_review_unit_count_not_7,review_unit_deleted,semantic_state,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X03],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X04,sample_support_count_not_11,sample_support_deleted,semantic_state,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X04],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X05,duplicate_review_unit,review_unit_duplicated,semantic_state,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X05],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X06,duplicate_sample,sample_duplicated,semantic_state,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X06],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X07,sample_not_covered,sample_id_replaced,semantic_state,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X07],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X08,sample_maps_to_multiple_units,sample_added_to_second_unit,semantic_state,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X08],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X09,rule_maps_to_multiple_families,family_id_changed_for_repeated_rule,semantic_state,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X09],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X10,sample_count_sum_not_11,sample_count_incremented,semantic_state,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X10],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X11,candidate_family_id_drift,family_id=substituted,semantic_state,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X11],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X12,candidate_rule_id_drift,rule_id=substituted,semantic_state,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X12],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X13,candidate_semantic_evidence_drift,candidate_semantic_name=changed,semantic_state,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X13],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X14,local_graph_sha_drift,local_graph_sha=zero,semantic_state,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X14],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X15,boundary_authority_drift,boundary_cardinality=3,semantic_state,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X15],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X16,candidate_graph_in_approved_smarts,reviewed_warhead_smarts=candidate_json,package_payloads,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X16],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X17,candidate_name_in_reviewed_name,reviewed_semantic_name=candidate_name,package_payloads,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X17],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
