admission_field_name,requirement_phase,required_at_phase,value_contract,failure_severity,admission_schema_passed,blocking_reason
candidate_record_id,pre_download,true,"unique, non-empty deterministic candidate identity",blocking,true,
pdb_id,pre_download,true,four-character PDB identifier validated before queueing,blocking,true,
ligand_comp_id,pre_download,true,non-empty ligand or HET identity,blocking,true,
covalent_residue_name,pre_download,true,non-empty residue identity,blocking,true,
covalent_residue_chain_id,pre_download,true,non-empty chain identity,blocking,true,
covalent_residue_index,pre_download,true,explicit residue index,blocking,true,
covalent_residue_atom_name,pre_download,true,must be SG for v1 Cys scope,blocking,true,
covalent_event_evidence_source,pre_download,true,explicit non-distance-only evidence source,blocking,true,
covalent_bond_atom_pair,pre_download,true,explicit atom-pair evidence or manual-review disposition,blocking,true,
topology_restoration_disposition,pre_download,true,approved template or explicit manual review,blocking,true,
duplicate_identity_key,pre_download,true,pre-download deduplication key,blocking,true,
raw_target_relative_path,pre_download,true,"future raw destination, no overwrite permitted",blocking,true,
leakage_group_id,pre_final_split,true,assigned before final split admission,blocking,true,
download_result_status,post_download,true,observed future download result status,blocking,true,
observed_http_status,post_download,true,observed HTTP status from future download execution,blocking,true,
observed_content_length_bytes,post_download,true,observed downloaded content length in bytes,blocking,true,
observed_sha256,post_download,true,observed SHA256 of future downloaded content,blocking,true,
