vocabulary_order,source_relative_path,source_sha256,source_kind,symbol_or_row_id,observed_string,observed_role,semantic_category,candidate_scalar_value_explicitly_declared,canonical_enum_member_explicitly_declared,safe_to_promote_to_canonical_enum_now,promotion_blocker,inventory_passed
1,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_rule_registry.csv,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,committed_contract_csv,ADMIT_008.evidence_source,approved_template_or_manual_review,historical evidence-source description,admission_evidence_source_phrase,false,false,false,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,true
2,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_rule_registry.csv,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,committed_contract_csv,ADMIT_008.required_status,approved_or_manual_review,historical required-status description,admission_required_status_phrase,false,false,false,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,true
3,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_rule_registry.csv,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,committed_contract_csv,ADMIT_008.blocking_reason,topology_restoration_unapproved,historical lowercase blocking reason,historical_blocking_reason,false,false,false,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,true
4,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate_v0/covalent_restoration_rule_registry_contract.csv,61e00e08ca5d32b2508f0bec3e296bef0edd79fad220e4014a1ac32f5c86f92c,committed_contract_csv,CYS rule_id,CYS_SG_ACRYLAMIDE_LIKE_STEP8_MANUAL_REVIEWED_V1,restoration rule identity,restoration_rule_id,false,false,false,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,true
5,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate_v0/covalent_restoration_rule_registry_contract.csv,61e00e08ca5d32b2508f0bec3e296bef0edd79fad220e4014a1ac32f5c86f92c,committed_contract_csv,unknown rule_id,UNKNOWN_RESIDUE_WARHEAD_PAIR_QUARANTINE,quarantine rule identity,restoration_rule_id,false,false,false,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,true
6,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate_v0/covalent_restoration_rule_registry_contract.csv,61e00e08ca5d32b2508f0bec3e296bef0edd79fad220e4014a1ac32f5c86f92c,committed_contract_csv,SER rule_id,SER_OG_DEFERRED_MANUAL_REVIEW_REQUIRED,deferred rule identity,restoration_rule_id,false,false,false,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,true
7,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate_v0/covalent_restoration_rule_registry_contract.csv,61e00e08ca5d32b2508f0bec3e296bef0edd79fad220e4014a1ac32f5c86f92c,committed_contract_csv,LYS rule_id,LYS_NZ_DEFERRED_MANUAL_REVIEW_REQUIRED,deferred rule identity,restoration_rule_id,false,false,false,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,true
8,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate_v0/covalent_restoration_rule_registry_contract.csv,61e00e08ca5d32b2508f0bec3e296bef0edd79fad220e4014a1ac32f5c86f92c,committed_contract_csv,TYR rule_id,TYR_OH_DEFERRED_MANUAL_REVIEW_REQUIRED,deferred rule identity,restoration_rule_id,false,false,false,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,true
9,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate_v0/covalent_restoration_rule_registry_contract.csv,61e00e08ca5d32b2508f0bec3e296bef0edd79fad220e4014a1ac32f5c86f92c,committed_contract_csv,THR rule_id,THR_OG1_DEFERRED_MANUAL_REVIEW_REQUIRED,deferred rule identity,restoration_rule_id,false,false,false,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,true
10,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate_v0/covalent_restoration_rule_registry_contract.csv,61e00e08ca5d32b2508f0bec3e296bef0edd79fad220e4014a1ac32f5c86f92c,committed_contract_csv,HIS rule_id,HIS_NE2_DEFERRED_MANUAL_REVIEW_REQUIRED,deferred rule identity,restoration_rule_id,false,false,false,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,true
11,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate_v0/covalent_restoration_rule_registry_contract.csv,61e00e08ca5d32b2508f0bec3e296bef0edd79fad220e4014a1ac32f5c86f92c,committed_contract_csv,CYS scope,current_cys_sg_golden_samples_only,validated rule scope,restoration_rule_scope,false,false,false,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,true
12,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate_v0/covalent_restoration_rule_registry_contract.csv,61e00e08ca5d32b2508f0bec3e296bef0edd79fad220e4014a1ac32f5c86f92c,committed_contract_csv,unknown scope,quarantine_only,quarantine rule scope,restoration_rule_scope,false,false,false,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,true
13,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate_v0/covalent_restoration_rule_registry_contract.csv,61e00e08ca5d32b2508f0bec3e296bef0edd79fad220e4014a1ac32f5c86f92c,committed_contract_csv,deferred scope,deferred_not_v1_train_ready,deferred rule scope,restoration_rule_scope,false,false,false,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,true
14,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate_v0/covalent_restoration_rule_registry_contract.csv,61e00e08ca5d32b2508f0bec3e296bef0edd79fad220e4014a1ac32f5c86f92c,committed_contract_csv,CYS source,step8_manual_reviewed_pre_reaction_sdf_and_graph_preview,manual-review provenance source,restoration_rule_source,false,false,false,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,true
15,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate_v0/covalent_restoration_rule_registry_contract.csv,61e00e08ca5d32b2508f0bec3e296bef0edd79fad220e4014a1ac32f5c86f92c,committed_contract_csv,unknown source,no_validated_restoration_rule,absence-of-rule source marker,restoration_rule_source,false,false,false,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,true
16,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate_v0/covalent_restoration_rule_registry_contract.csv,61e00e08ca5d32b2508f0bec3e296bef0edd79fad220e4014a1ac32f5c86f92c,committed_contract_csv,deferred source,future_manual_visual_review_required,future manual-review policy,manual_review_policy,false,false,false,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,true
17,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate_v0/ligand_topology_restoration_candidate_contract.csv,7d506c058e5d4dc49b0c6397db1bb35d11520d157ef1805971acf44283a22751,committed_contract_csv,observed_topology_design_status,policy_defined_no_ligand_topology_table_written,observed-topology design status,policy_status,false,false,false,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,true
18,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate_v0/ligand_topology_restoration_candidate_contract.csv,7d506c058e5d4dc49b0c6397db1bb35d11520d157ef1805971acf44283a22751,committed_contract_csv,training_ready_reason,design_gate_only_no_ligand_topology_table_written,training boundary reason,training_status,false,false,false,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,true
19,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_policy_review_gate_v0/ligand_topology_policy_review_decision_contract.csv,5b5bb3d4dec353c8dbeb4fce7aa840846464721d9fbd960835c052eaa4ed8a6a,committed_contract_csv,decision,accepted,policy review decision,review_decision,false,false,false,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,true
20,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_policy_review_gate_v0/ligand_topology_policy_review_decision_contract.csv,5b5bb3d4dec353c8dbeb4fce7aa840846464721d9fbd960835c052eaa4ed8a6a,committed_contract_csv,training_use_status,not_training_input_yet,review-stage training status,training_status,false,false,false,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,true
21,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate_v0/ligand_topology_restoration_policy_design_gate_manifest.json,c104908df85b3a026e5aa83d72483d5698b25b5ed94f35c11b6d15cb4c5c57fc,committed_manifest,v1_train_ready_scope,cys_sg_with_known_restoration_template_only,narrow policy scope,restoration_rule_scope,false,false,false,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,true
22,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_policy_review_gate_v0/ligand_topology_policy_review_gate_manifest.json,c1e24b4e583fa10c5338a6a9907b0fd683b51b34c8e26aaa5275ad5afb899bb9,committed_manifest,topology_smoke_input_source_policy,use_step8_manual_reviewed_pre_reaction_provenance_or_existing_graph_preview_only,topology smoke source policy,policy_status,false,false,false,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,true
