fixture_profile,scope_id,candidate_index,comparison_area,comparison_item,orchestrator_value,direct_baseline_value,parity_verified
canonical_single_candidate_exact4,download_execution_permission,-1,unified_stage_global_result,ADMIT_014.schema_version,"""covapie_unified_admission_rule_evaluation_v1""","""covapie_unified_admission_rule_evaluation_v1""",true
canonical_single_candidate_exact4,download_execution_permission,-1,unified_stage_global_result,ADMIT_014.admission_rule_id,"""ADMIT_014""","""ADMIT_014""",true
canonical_single_candidate_exact4,download_execution_permission,-1,unified_stage_global_result,ADMIT_014.admission_rule_name,"""current_gate_grants_no_download_permission""","""current_gate_grants_no_download_permission""",true
canonical_single_candidate_exact4,download_execution_permission,-1,unified_stage_global_result,ADMIT_014.outcome,"""blocked""","""blocked""",true
canonical_single_candidate_exact4,download_execution_permission,-1,unified_stage_global_result,ADMIT_014.passed,false,false,true
canonical_single_candidate_exact4,download_execution_permission,-1,unified_stage_global_result,ADMIT_014.blocks_candidate,true,true,true
canonical_single_candidate_exact4,download_execution_permission,-1,unified_stage_global_result,ADMIT_014.reason,"""BULK_DOWNLOAD_NOT_AUTHORIZED""","""BULK_DOWNLOAD_NOT_AUTHORIZED""",true
canonical_single_candidate_exact4,download_execution_permission,-1,unified_stage_global_result,ADMIT_014.normalized_values,"{""items"":[{""items"":[""current_stage_download_authorized"",""false""],""type"":""tuple""}],""type"":""tuple""}","{""items"":[{""items"":[""current_stage_download_authorized"",""false""],""type"":""tuple""}],""type"":""tuple""}",true
canonical_single_candidate_exact4,download_execution_permission,-1,unified_stage_global_result,ADMIT_014.validated_candidate_fields,"{""items"":[],""type"":""tuple""}","{""items"":[],""type"":""tuple""}",true
canonical_single_candidate_exact4,download_execution_permission,-1,unified_stage_global_result,ADMIT_014.consumed_candidate_fields,"{""items"":[],""type"":""tuple""}","{""items"":[],""type"":""tuple""}",true
canonical_single_candidate_exact4,download_execution_permission,-1,unified_stage_global_result,ADMIT_014.consumed_context_items,"{""items"":[""current_stage_download_authorized""],""type"":""tuple""}","{""items"":[""current_stage_download_authorized""],""type"":""tuple""}",true
canonical_single_candidate_exact4,download_execution_permission,-1,unified_stage_global_result,ADMIT_014.evaluator_io_used,false,false,true
canonical_single_candidate_exact4,download_execution_permission,-1,unified_stage_global_result,ADMIT_014.adapter_id,"""covapie_admit_014_unified_adapter_v1""","""covapie_admit_014_unified_adapter_v1""",true
canonical_single_candidate_exact4,download_execution_permission,0,stage_global_identity_reuse,ADMIT_014,true,true,true
canonical_single_candidate_exact4,download_execution_permission,0,normal_retained_vector_identity,rule_evaluations_is_ordered_vector,true,true,true
canonical_single_candidate_exact4,download_execution_permission,0,unified_candidate_result,ADMIT_001.schema_version,"""covapie_unified_admission_rule_evaluation_v1""","""covapie_unified_admission_rule_evaluation_v1""",true
canonical_single_candidate_exact4,download_execution_permission,0,unified_candidate_result,ADMIT_001.admission_rule_id,"""ADMIT_001""","""ADMIT_001""",true
canonical_single_candidate_exact4,download_execution_permission,0,unified_candidate_result,ADMIT_001.admission_rule_name,"""unique_candidate_identity""","""unique_candidate_identity""",true
canonical_single_candidate_exact4,download_execution_permission,0,unified_candidate_result,ADMIT_001.outcome,"""passed""","""passed""",true
canonical_single_candidate_exact4,download_execution_permission,0,unified_candidate_result,ADMIT_001.passed,true,true,true
canonical_single_candidate_exact4,download_execution_permission,0,unified_candidate_result,ADMIT_001.blocks_candidate,false,false,true
canonical_single_candidate_exact4,download_execution_permission,0,unified_candidate_result,ADMIT_001.reason,"""""","""""",true
canonical_single_candidate_exact4,download_execution_permission,0,unified_candidate_result,ADMIT_001.normalized_values,"{""items"":[{""items"":[""candidate_record_id"",""REC_1""],""type"":""tuple""}],""type"":""tuple""}","{""items"":[{""items"":[""candidate_record_id"",""REC_1""],""type"":""tuple""}],""type"":""tuple""}",true
