safety_item,expected_executed,observed_executed,safety_passed
exact_source_reads,true,true,true
e1b_predecessor_validation,true,true,true
p2_contract_validation,true,true,true
p4_token_semantics_validation,true,true,true
p5b_quote_class_gap_audit,true,true,true
grammar_design,true,true,true
state_value_truth_classification,true,true,true
issue_transition_design,true,true,true
raw_read,false,false,true
parser_execution,false,false,true
provider_execution,false,false,true
evaluator_implementation,false,false,true
candidate_record_materialization,false,false,true
candidate_evaluation,false,false,true
admission_record_modification,false,false,true
sample_backfill,false,false,true
network,false,false,true
download,false,false,true
checkpoint,false,false,true
torch,false,false,true
numpy,false,false,true
rdkit,false,false,true
model_forward_loss_training,false,false,true
