precondition_id,semantic_area,required_contract,observed_contract,source_evidence,semantics_complete,blocker_id,implementation_disposition,precondition_passed
PRE_001,admission_rule_identity,ADMIT_009 identity and formal name,ADMIT_009 duplicate_identity_precheck,rule registry,true,,identity frozen,true
PRE_002,evaluation_phase,exact evaluation phase,pre_download,rule registry and executability matrix,true,,phase frozen,true
PRE_003,candidate_field_name,candidate field identity,duplicate_identity_key,schema and field matrices,true,,field identity frozen,true
PRE_004,batch_context_item_name,batch dependency identity,batch_duplicate_identity_keys,executability and context contracts,true,,dependency identity frozen,true
PRE_005,evaluation_policy_item_name,evaluation-policy dependency identity,duplicate_identity_key_contract,executability and context contracts,true,,dependency identity frozen,true
PRE_006,pure_in_memory_interface_possible,filesystem/network-free evaluator feasibility,future caller supplies dependencies; evaluator IO is false,executability and context contracts,true,,pure interface is feasible after contract design,true
PRE_007,scalar_exact_type,exact scalar type,"no exact str, tuple, record, or digest type is frozen",field semantics and fixed boundary,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,freeze exact type,true
PRE_008,scalar_syntax_and_length,"syntax, length, charset, escaping",no key grammar is frozen,fixed boundary,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,freeze key grammar,true
PRE_009,normalization_and_canonicalization,"trim, case, Unicode, alias, repair policies",normalization_defined=false; no alias or repair contract,field semantics matrix,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,freeze normalization,true
PRE_010,duplicate_key_component_set,exact candidate component set,"candidate, ligand, protein, residue, atom and group evidence exists without key promotion",identity inventories,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,design component contract,true
PRE_011,component_order_and_encoding,"component order, names, version, separator and empty policy",no ordering or encoding contract,fixed boundary,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,freeze encoding,true
PRE_012,duplicate_equivalence_domain,exact duplicate equivalence domain,"record, ligand, grouping, leakage and materialization identities remain distinct",identity and leakage evidence,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,freeze equivalence domain,true
PRE_013,collision_handling,hash/key collision and version mismatch policy,no collision policy,fixed boundary,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,freeze collision handling,true
PRE_014,batch_container_exact_type,exact batch container type and mutation/copy policy,dependency exists; list/tuple/set/frozenset is not selected,evaluation context contract,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,freeze batch container,true
PRE_015,batch_member_exact_type,exact member type,member type is not frozen,fixed boundary,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,freeze member type,true
PRE_016,batch_membership_semantics,"equality, order, duplicates, normalization and malformed handling",no membership comparison contract,fixed boundary,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,freeze membership semantics,true
PRE_017,current_candidate_self_exclusion,"self-inclusion, exclusion and multiplicity policy",current-candidate membership is unspecified,fixed boundary,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,freeze self-exclusion,true
PRE_018,candidate_record_id_relationship,candidate_record_id role in duplicate evaluation,candidate_record_id is explicitly separate; self-exclusion use is not frozen,candidate identity contract,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,design relationship without identity substitution,true
PRE_019,duplicate_vs_leakage_group_boundary,exact duplicate versus broader must-link leakage group,leakage group is a conservative multi-relation union; exact-duplicate boundary absent,leakage assignment evidence,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,freeze boundary,true
PRE_020,outcome_vocabulary,"unique, duplicate, malformed and collision outcomes",no ADMIT_009 outcome mapping,fixed boundary,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,freeze outcomes,true
PRE_021,reason_vocabulary,formal uppercase reason vocabulary,only historical lowercase umbrella reason exists,rule registry,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,freeze reasons,true
PRE_022,canonical_validated_state,canonical and validated state for every path,no state-retention contract,fixed boundary,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,freeze result state,true
PRE_023,independent_semantic_oracle,independent pure full-input semantic oracle,no ADMIT_009 oracle exists,Exact8 runtime and fixed boundary,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,design oracle after key contract,true
PRE_024,real_provider_and_implementation_readiness,canonical provider mapping and complete standalone contract,zero canonical duplicate keys; implementation remains prohibited,fixed boundary and stop boundary,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,design key contract next,true
