safety_item,expected_executed,observed_executed,safety_passed
exact_source_reads,true,true,true
callable_inventory_ast_validation,true,true,true
metadata_rule_registry_validation,true,true,true
public_api_contract_design,true,true,true
unified_result_schema_design,true,true,true
dispatch_failure_contract_design,true,true,true
explicit_context_routing_design,true,true,true
engine_issue_transition_design,true,true,true
raw_read,false,false,true
provenance_reference_dereference,false,false,true
evaluator_execution,false,false,true
parser_execution,false,false,true
provider_execution,false,false,true
dispatch_implementation,false,false,true
evaluator_adapter_implementation,false,false,true
evaluator_registry_runtime_implementation,false,false,true
unified_rule_engine_integration,false,false,true
combined_candidate_verdict_implementation,false,false,true
candidate_record_materialization,false,false,true
real_candidate_evaluation,false,false,true
admission_record_modification,false,false,true
sample_backfill,false,false,true
network,false,false,true
download,false,false,true
checkpoint,false,false,true
torch,false,false,true
numpy,false,false,true
rdkit,false,false,true
model_forward_loss_training,false,false,true
