field_index,final_dataset_field_name,expected_field_name,observed_field_name,source_schema_contract_found,csv_field_order_matches,json_field_order_matches,no_missing_field,no_extra_field,schema_order_qa_passed,qa_comment
1,final_dataset_row_id,final_dataset_row_id,final_dataset_row_id,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
2,sample_id,sample_id,sample_id,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
3,split_unit_id,split_unit_id,split_unit_id,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
4,extracted_event_id,extracted_event_id,extracted_event_id,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
5,allowlist_entry_id,allowlist_entry_id,allowlist_entry_id,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
6,candidate_metadata_id,candidate_metadata_id,candidate_metadata_id,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
7,pdb_id,pdb_id,pdb_id,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
8,het_code,het_code,het_code,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
9,chain_id,chain_id,chain_id,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
10,residue_name,residue_name,residue_name,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
11,residue_index,residue_index,residue_index,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
12,residue_atom_name,residue_atom_name,residue_atom_name,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
13,ligand_atom_name,ligand_atom_name,ligand_atom_name,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
14,covalent_bond_atom_pair,covalent_bond_atom_pair,covalent_bond_atom_pair,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
15,covalent_bond_distance_angstrom,covalent_bond_distance_angstrom,covalent_bond_distance_angstrom,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
