admission_rule_id,contract_order,contract_area,contract_item,exact_requirement,failure_disposition,dispatch_error_reason,legacy_evaluator_called_on_failure,contract_passed
ADMIT_001,1,execution_order,execution_precedence,1:rule-ID validation|2:known/registered/adapter-ready validation|3:runtime context routing validation|4:candidate Mapping validation|5:required candidate-field validation|6:legacy evaluator call|7:exact legacy-result type/key/field validation|8:legacy-result semantic invariant and semantic-oracle equivalence validation|9:reason-to-outcome mapping|10:UnifiedAdmissionRuleEvaluation construction,contract_invariant,,not_applicable,true
ADMIT_001,2,routing,rule_id_and_registration,validate rule ID and registration before every context check,dispatch_fail_closed,,false,true
ADMIT_001,3,routing,batch_context_1_mapping,Mapping or Mapping subclass,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_001_BATCH_CONTEXT_MAPPING_REQUIRED,false,true
ADMIT_001,4,routing,batch_context_2_key_presence,batch_candidate_record_ids required,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_001_BATCH_CANDIDATE_RECORD_IDS_REQUIRED,false,true
ADMIT_001,5,routing,batch_context_3_exact_container,type is exactly list or exactly tuple,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_001_BATCH_CANDIDATE_RECORD_IDS_EXACT_LIST_OR_TUPLE_REQUIRED,false,true
ADMIT_001,6,routing,batch_context_4_nonempty,batch_candidate_record_ids nonempty,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_001_BATCH_CANDIDATE_RECORD_IDS_NONEMPTY_REQUIRED,false,true
ADMIT_001,7,routing,batch_context_5_member_syntax,every member satisfies exact candidate-record ID syntax,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_001_BATCH_CANDIDATE_RECORD_ID_MEMBER_INVALID,false,true
ADMIT_001,8,routing,evaluation_context_6,must be None,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_001_EVALUATION_CONTEXT_MUST_BE_NONE,false,true
ADMIT_001,9,routing,download_result_context_7,must be None,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_001_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE,false,true
ADMIT_001,10,routing,stage_authorization_context_8,must be None,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_001_STAGE_AUTHORIZATION_CONTEXT_MUST_BE_NONE,false,true
ADMIT_001,11,candidate_projection,candidate_record_type,Mapping or Mapping subclass; non-Mapping yields invalid rule result,ADMIT_001_CANDIDATE_RECORD_MAPPING_INVALID,,false,true
ADMIT_001,12,candidate_projection,required_field,candidate_record_id must be present; missing yields invalid rule result,ADMIT_001_CANDIDATE_FIELD_MISSING:candidate_record_id,,false,true
ADMIT_001,13,candidate_projection,candidate_non_mapping_unified_result,"schema_version=covapie_unified_admission_rule_evaluation_v1;admission_rule_id=ADMIT_001;admission_rule_name=unique_candidate_identity;outcome=invalid;passed=false;blocks_candidate=true;reason=ADMIT_001_CANDIDATE_RECORD_MAPPING_INVALID;normalized_values=();validated_candidate_fields=();consumed_candidate_fields=(""candidate_record_id"",);consumed_context_items=(""batch_candidate_record_ids"",);evaluator_io_used=false;adapter_id=covapie_admit_001_unified_adapter_v1;legacy_evaluator_called=false",adapter_side_invalid_unified_result,,false,true
ADMIT_001,14,candidate_projection,candidate_missing_field_unified_result,"schema_version=covapie_unified_admission_rule_evaluation_v1;admission_rule_id=ADMIT_001;admission_rule_name=unique_candidate_identity;outcome=invalid;passed=false;blocks_candidate=true;reason=ADMIT_001_CANDIDATE_FIELD_MISSING:candidate_record_id;normalized_values=();validated_candidate_fields=();consumed_candidate_fields=(""candidate_record_id"",);consumed_context_items=(""batch_candidate_record_ids"",);evaluator_io_used=false;adapter_id=covapie_admit_001_unified_adapter_v1;legacy_evaluator_called=false",adapter_side_invalid_unified_result,,false,true
ADMIT_001,15,candidate_projection,field_value_identity,pass original candidate_record_id value object unchanged; no trim/coerce/normalize/copy,fail_closed_if_violated,,not_applicable,true
ADMIT_001,16,candidate_projection,extra_fields,do not pass candidate extra fields to legacy evaluator,fail_closed_if_violated,,not_applicable,true
ADMIT_001,17,candidate_projection,candidate_mutation,candidate record must not be mutated,fail_closed_if_violated,,not_applicable,true
ADMIT_001,18,static_policy_boundary,candidate_record_id_contract,committed source SHA plus future adapter implementation dependency; caller does not repeat; no dynamic filesystem load or fabricated context,fail_closed_if_dependency_unavailable,,not_applicable,true
ADMIT_001,19,static_policy_boundary,runtime_evaluation_context,None; static policy is not runtime caller evidence,routing_contract_restatement,,not_applicable,true
ADMIT_001,20,unified_field_mapping,normalized_values,"empty source => (); nonempty => ((""candidate_record_id"",normalized_candidate_record_id),)",UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,,not_applicable,true
ADMIT_001,21,unified_field_mapping,validated_candidate_fields,"candidate syntax valid => ((""candidate_record_id"",normalized_candidate_record_id),); else ()",UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,,not_applicable,true
ADMIT_001,22,unified_field_mapping,consumed_candidate_fields,"(""candidate_record_id"",)",UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,,not_applicable,true
ADMIT_001,23,unified_field_mapping,consumed_context_items,"(""batch_candidate_record_ids"",)",UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,,not_applicable,true
ADMIT_001,24,unified_field_mapping,evaluator_io_used,false,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,,not_applicable,true
ADMIT_001,25,unified_field_mapping,adapter_id,covapie_admit_001_unified_adapter_v1,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,,not_applicable,true
ADMIT_001,26,adapter_invariant,legacy_result,exact dict; exact ordered keyset; exact rule ID; passed exact bool; declared strings exact str; passed iff reason empty,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY;no_partial_unified_result,,not_applicable,true
ADMIT_001,27,adapter_invariant,unknown_nonempty_reason,reason must exist in exact per-rule mapping; no fallback row,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY;do_not_guess_outcome,,not_applicable,true
ADMIT_002,1,execution_order,execution_precedence,1:rule-ID validation|2:known/registered/adapter-ready validation|3:runtime context routing validation|4:candidate Mapping validation|5:required candidate-field validation|6:legacy evaluator call|7:exact legacy-result type/key/field validation|8:legacy-result semantic invariant and semantic-oracle equivalence validation|9:reason-to-outcome mapping|10:UnifiedAdmissionRuleEvaluation construction,contract_invariant,,not_applicable,true
ADMIT_002,2,routing,rule_id_and_registration,validate rule ID and registration before every context check,dispatch_fail_closed,,false,true
ADMIT_002,3,routing,batch_context_1,must be None,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_002_BATCH_CONTEXT_MUST_BE_NONE,false,true
ADMIT_002,4,routing,evaluation_context_2,must be None,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_002_EVALUATION_CONTEXT_MUST_BE_NONE,false,true
