case_id,case_group,scalar_input_kind,scalar_input_display,context_input_kind,context_input_display,expected_full_result,observed_full_result,committed_oracle_full_result,production_oracle_equality,case_passed
CASE_001_canonical_approved_template,canonical,str,"""approved_restoration_template""",exact_tuple,"tuple:[""approved_restoration_template"", ""explicit_manual_review_approved""]","{""admission_rule_id"":""ADMIT_008"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_topology_restoration_disposition"":""approved_restoration_template"",""validated_candidate_fields"":[[""topology_restoration_disposition"",""approved_restoration_template""]],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_008"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_topology_restoration_disposition"":""approved_restoration_template"",""validated_candidate_fields"":[[""topology_restoration_disposition"",""approved_restoration_template""]],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_008"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_topology_restoration_disposition"":""approved_restoration_template"",""validated_candidate_fields"":[[""topology_restoration_disposition"",""approved_restoration_template""]],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}",true,true
CASE_002_canonical_manual_approved,canonical,str,"""explicit_manual_review_approved""",exact_tuple,"tuple:[""approved_restoration_template"", ""explicit_manual_review_approved""]","{""admission_rule_id"":""ADMIT_008"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_topology_restoration_disposition"":""explicit_manual_review_approved"",""validated_candidate_fields"":[[""topology_restoration_disposition"",""explicit_manual_review_approved""]],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_008"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_topology_restoration_disposition"":""explicit_manual_review_approved"",""validated_candidate_fields"":[[""topology_restoration_disposition"",""explicit_manual_review_approved""]],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_008"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_topology_restoration_disposition"":""explicit_manual_review_approved"",""validated_candidate_fields"":[[""topology_restoration_disposition"",""explicit_manual_review_approved""]],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}",true,true
CASE_003_canonical_manual_required,canonical,str,"""manual_review_required""",exact_tuple,"tuple:[""approved_restoration_template"", ""explicit_manual_review_approved""]","{""admission_rule_id"":""ADMIT_008"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_MANUAL_REVIEW_REQUIRED"",""canonical_topology_restoration_disposition"":""manual_review_required"",""validated_candidate_fields"":[[""topology_restoration_disposition"",""manual_review_required""]],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_008"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_MANUAL_REVIEW_REQUIRED"",""canonical_topology_restoration_disposition"":""manual_review_required"",""validated_candidate_fields"":[[""topology_restoration_disposition"",""manual_review_required""]],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_008"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_MANUAL_REVIEW_REQUIRED"",""canonical_topology_restoration_disposition"":""manual_review_required"",""validated_candidate_fields"":[[""topology_restoration_disposition"",""manual_review_required""]],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}",true,true
CASE_004_canonical_quarantine,canonical,str,"""quarantine_required""",exact_tuple,"tuple:[""approved_restoration_template"", ""explicit_manual_review_approved""]","{""admission_rule_id"":""ADMIT_008"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_QUARANTINE_REQUIRED"",""canonical_topology_restoration_disposition"":""quarantine_required"",""validated_candidate_fields"":[[""topology_restoration_disposition"",""quarantine_required""]],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_008"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_QUARANTINE_REQUIRED"",""canonical_topology_restoration_disposition"":""quarantine_required"",""validated_candidate_fields"":[[""topology_restoration_disposition"",""quarantine_required""]],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_008"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_QUARANTINE_REQUIRED"",""canonical_topology_restoration_disposition"":""quarantine_required"",""validated_candidate_fields"":[[""topology_restoration_disposition"",""quarantine_required""]],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}",true,true
CASE_005_type_none,scalar_type,NoneType,NoneType:None,exact_tuple,"tuple:[""approved_restoration_template"", ""explicit_manual_review_approved""]","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_TYPE_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_TYPE_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_TYPE_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}",true,true
CASE_006_type_int,scalar_type,int,int:7,exact_tuple,"tuple:[""approved_restoration_template"", ""explicit_manual_review_approved""]","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_TYPE_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_TYPE_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_TYPE_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}",true,true
CASE_007_type_bool,scalar_type,bool,bool:True,exact_tuple,"tuple:[""approved_restoration_template"", ""explicit_manual_review_approved""]","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_TYPE_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_TYPE_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_TYPE_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}",true,true
CASE_008_type_str_subclass,scalar_type,_StringSubclass,"str_subclass:""approved_restoration_template""",exact_tuple,"tuple:[""approved_restoration_template"", ""explicit_manual_review_approved""]","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_TYPE_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_TYPE_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_TYPE_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}",true,true
CASE_009_type_list,scalar_type,list,"list:[""approved_restoration_template""]",exact_tuple,"tuple:[""approved_restoration_template"", ""explicit_manual_review_approved""]","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_TYPE_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_TYPE_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_TYPE_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}",true,true
CASE_010_type_mapping,scalar_type,dict,"dict:{""value"": ""approved_restoration_template""}",exact_tuple,"tuple:[""approved_restoration_template"", ""explicit_manual_review_approved""]","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_TYPE_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_TYPE_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_TYPE_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}",true,true
