evidence_id,source_namespace,source_commit,source_path,source_sha256,authority_class,provides_dimensions,lineage_note,verified
E01,git_object,e206a732d1a72ac1a45002a3bf9c5ae8d659f692,data/derived/covalent_small/covapie_canonical_five_level_role_and_task_mask_materialization_contract_v1/covapie_role_task_mask_contract_manifest.json,f5f51d77b2bc347fc9eaf36b61fb9ab1561fb8542cb1a80df54f1474daf33f9f,contract,readiness_boundary,latest_canonical_role_task_mask_contract,true
E02,git_object,0fda7b9e8fc56941e005f3e8b5e67fa2ceaa4ca1,src/covalent_ext/covapie_ligand_role_and_minimal_seed_annotation_contract_design_v1.py,18e386ea0412d917d4e3d9f6c15374cdbd680ea243e7b51c0045ae889a215f8b,contract,all_contract_semantics,role_seed_predecessor,true
E03,git_object,0fda7b9e8fc56941e005f3e8b5e67fa2ceaa4ca1,data/derived/covalent_small/covapie_ligand_role_and_minimal_seed_annotation_contract_design_v1/covapie_ligand_role_and_seed_contract_registry.csv,872ecd0754ff941bee207161a54eecd1dd256d382044c38075b1c8ede89dba3d,contract,all_contract_semantics,role_seed_semantics,true
E04,git_object,0fda7b9e8fc56941e005f3e8b5e67fa2ceaa4ca1,data/derived/covalent_small/covapie_ligand_role_and_minimal_seed_annotation_contract_design_v1/covapie_current11_role_annotation_input_readiness_matrix.csv,6def11ca3c1ec974479c3fa96d3f2c985b994eed86d6132008236fb18bca3d4b,historical_gap_evidence,historical_all_nine,predecessor_current11_readiness,true
E05,git_object,51e6d187a66e11b1ced5ba17d3835773f8c0f2a4,data/derived/covalent_small/covapie_final_dataset_materialization_smoke_v0/final_dataset_index.csv,c4c31888cb0f7c148b00656ccf22ab68fab842fcdafdee049b2f420eddc1302d,authoritative_resolved,sample_identity,current11_sample_identity,true
E06,git_object,e5563ed50db6e56cbdfb6cc629e5eb4fe9137edf,data/derived/covalent_small/covapie_covalent_bond_atom_pair_encoding_contract_current_canonical_evidence_validation_v1/covapie_atom_pair_atom_table_mapping_validation_matrix.csv,9f26b25ed11d186a02a1f859de10a105605ce3af13805ac5a4be1ad73199df45,authoritative_resolved,ligand_reactive_atom|residue_reactive_atom,ligand_and_residue_reactive_atom_mapping,true
E07,git_object,160cdbda8800a535b5c0a81d501babfae9a8615b,data/derived/covalent_small/covapie_training_feature_semantics_and_unknown_atom_policy_resolution_v1/covapie_heavy_atom_disposition_and_index_projection_matrix.csv,b53f438edffab32f78d07df839b8c8437ec4223e31bd8a8885deedf32497b4be,authoritative_resolved,retained_heavy_atom_mapping,retained_heavy_index_projection,true
E08,git_object,68c5ca5cf1ce5b20be5db9ce0b37e10830c09288,data/derived/covalent_small/covapie_current11_observed_to_parent_atom_projection_authority_v1/covapie_current11_observed_to_parent_atom_mapping_authority.csv,f803e0c5fb2585c8dae31dbff254749496f897f4bf9a5103455c6c675a132a1e,authoritative_resolved,retained_heavy_atom_mapping|pre_reaction_connectivity|murcko_input|brics_input,observed_to_parent_atom_mapping,true
E09,git_object,68c5ca5cf1ce5b20be5db9ce0b37e10830c09288,data/derived/covalent_small/covapie_current11_observed_to_parent_atom_projection_authority_v1/covapie_current11_parent_and_observed_projected_bond_authority.csv,bd31b7c074c3d4226c26bfe0210b9c3460f38c5087f1157b1167749f91bfffe0,authoritative_resolved,pre_reaction_connectivity|pre_reaction_bond_orders|murcko_input|brics_input,pre_reaction_connectivity_and_bond_orders,true
E10,git_object,68c5ca5cf1ce5b20be5db9ce0b37e10830c09288,data/derived/covalent_small/covapie_current11_observed_to_parent_atom_projection_authority_v1/covapie_current11_observed_projection_readiness_matrix.csv,ec7bb2c203a7b13f525c413171b734fdd9f8af934b6e7e8eaf3fc6ae141128a0,authoritative_resolved,pre_reaction_connectivity|pre_reaction_bond_orders,graph_readiness,true
E11,git_object,dc1222503dcec83220a28df2abdae898a0855864,data/derived/covalent_small/covapie_cys_sg_reaction_family_and_warhead_rule_registry_design_v1/covapie_cys_sg_warhead_rule_registry.csv,3311aaca925e29036b702822bd85fbaf4e2c3a02c9b7882d255956c65cd02309,candidate_only,approved_warhead_rule_candidate,unapproved_rule_registry,true
E12,git_object,0c8d1d10260a028360357b8c309f22676fc81645,data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_assignments_v1/covapie_current11_cys_sg_candidate_assignment_authority.csv,bc49e2f1ca112ceae30c91fa492386f6012c9005fc5137b40d3daec2343ef5d9,candidate_only,reaction_family_label_candidate|approved_warhead_rule_candidate,sample_candidate_family_rule_assignments,true
E13,git_object,51810f19e0bbb96171a7dd3aebd72ef08eda0200,src/covalent_ext/covapie_current11_unified_effective_authority_view_v1.py,c8f2af8fc0d5dd2f8c42e527cc3db34620b2992f567d59f32a19842254dac4f4,contract,warhead_boundary_human_review,unified_effective_authority_builder,true
E14,git_object,1cdbca345483022ece967b24de37013b77349cd4,src/covalent_ext/covapie_current11_five_auxiliary_module_label_consumption_readiness_design_v1.py,6e4b2b26545c039e61acc3821deaee86859eff0ed44b5deaca4290f187ee7681,sha_bound_formal_state,warhead_boundary_human_review,unified_view_transport_sha_binding,true
E15,git_object,1613c5efbb833f11ac3161d0d960c1342694cd4d,src/covalent_ext/covapie_current11_target_residue_atom_condition_authority_v1.py,1cf8839382bccfb595a841493a0e22c550578c02f2592dc7481ff67b078d7248,authority_builder,residue_reactive_atom,target_residue_atom_authority_builder,true
S01,sha_bound_formal_state,1cdbca345483022ece967b24de37013b77349cd4,state://manual-review/covapie_current11_unified_effective_authority_view_v1.json,f4178987f3c3eed0e248f6d3d5f22cb8bce1839d39ab08aff0bff9d2ef9f3774,authoritative_resolved,warhead_boundary_human_review,warhead_boundary_unified_effective_authority,true
S02,sha_bound_formal_state,b1fa272fc918a4c3a81c1c49bde0337b50450553,state://manual-review/covapie_current11_target_residue_atom_condition_authority_bundle_v1.json,a95ae52e091a7117b241269eebd891f3ee97e3ae4a6b4e14fa441ab6a1ed2096,authoritative_resolved,residue_reactive_atom,target_residue_reactive_atom_authority,true
