case_id,case_group,scalar_input_kind,scalar_input_display,context_input_kind,context_input_display,expected_outcome,expected_reason,observed_outcome,observed_reason,expected_canonical_evidence_source,observed_canonical_evidence_source,expected_validated_candidate_fields,observed_validated_candidate_fields,consumed_candidate_fields,consumed_context_items,evaluator_io_used,expected_full_result,observed_full_result,independent_oracle_full_result,case_passed
CASE_001_canonical_structure_bond,canonical,str,"""explicit_structure_bond_record""",exact_tuple,"tuple:[""explicit_structure_bond_record"", ""explicit_curated_covalent_annotation""]",passed,,passed,,explicit_structure_bond_record,explicit_structure_bond_record,"[[""covalent_event_evidence_source"",""explicit_structure_bond_record""]]","[[""covalent_event_evidence_source"",""explicit_structure_bond_record""]]",covalent_event_evidence_source,allowed_covalent_evidence_classes,false,"{""admission_rule_id"":""ADMIT_007"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_covalent_event_evidence_source"":""explicit_structure_bond_record"",""validated_candidate_fields"":[[""covalent_event_evidence_source"",""explicit_structure_bond_record""]],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_covalent_event_evidence_source"":""explicit_structure_bond_record"",""validated_candidate_fields"":[[""covalent_event_evidence_source"",""explicit_structure_bond_record""]],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_covalent_event_evidence_source"":""explicit_structure_bond_record"",""validated_candidate_fields"":[[""covalent_event_evidence_source"",""explicit_structure_bond_record""]],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}",true
CASE_002_canonical_curated_annotation,canonical,str,"""explicit_curated_covalent_annotation""",exact_tuple,"tuple:[""explicit_structure_bond_record"", ""explicit_curated_covalent_annotation""]",passed,,passed,,explicit_curated_covalent_annotation,explicit_curated_covalent_annotation,"[[""covalent_event_evidence_source"",""explicit_curated_covalent_annotation""]]","[[""covalent_event_evidence_source"",""explicit_curated_covalent_annotation""]]",covalent_event_evidence_source,allowed_covalent_evidence_classes,false,"{""admission_rule_id"":""ADMIT_007"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_covalent_event_evidence_source"":""explicit_curated_covalent_annotation"",""validated_candidate_fields"":[[""covalent_event_evidence_source"",""explicit_curated_covalent_annotation""]],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_covalent_event_evidence_source"":""explicit_curated_covalent_annotation"",""validated_candidate_fields"":[[""covalent_event_evidence_source"",""explicit_curated_covalent_annotation""]],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_covalent_event_evidence_source"":""explicit_curated_covalent_annotation"",""validated_candidate_fields"":[[""covalent_event_evidence_source"",""explicit_curated_covalent_annotation""]],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}",true
CASE_003_canonical_distance_only,canonical,str,"""distance_only_inference""",exact_tuple,"tuple:[""explicit_structure_bond_record"", ""explicit_curated_covalent_annotation""]",blocked,DISTANCE_ONLY_INFERENCE_NOT_ADMISSIBLE,blocked,DISTANCE_ONLY_INFERENCE_NOT_ADMISSIBLE,distance_only_inference,distance_only_inference,"[[""covalent_event_evidence_source"",""distance_only_inference""]]","[[""covalent_event_evidence_source"",""distance_only_inference""]]",covalent_event_evidence_source,allowed_covalent_evidence_classes,false,"{""admission_rule_id"":""ADMIT_007"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""DISTANCE_ONLY_INFERENCE_NOT_ADMISSIBLE"",""canonical_covalent_event_evidence_source"":""distance_only_inference"",""validated_candidate_fields"":[[""covalent_event_evidence_source"",""distance_only_inference""]],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""DISTANCE_ONLY_INFERENCE_NOT_ADMISSIBLE"",""canonical_covalent_event_evidence_source"":""distance_only_inference"",""validated_candidate_fields"":[[""covalent_event_evidence_source"",""distance_only_inference""]],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""DISTANCE_ONLY_INFERENCE_NOT_ADMISSIBLE"",""canonical_covalent_event_evidence_source"":""distance_only_inference"",""validated_candidate_fields"":[[""covalent_event_evidence_source"",""distance_only_inference""]],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}",true
CASE_004_type_none,scalar_type,NoneType,NoneType:None,exact_tuple,"tuple:[""explicit_structure_bond_record"", ""explicit_curated_covalent_annotation""]",invalid,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,,,[],[],covalent_event_evidence_source,allowed_covalent_evidence_classes,false,"{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}",true
CASE_005_type_int,scalar_type,int,int:7,exact_tuple,"tuple:[""explicit_structure_bond_record"", ""explicit_curated_covalent_annotation""]",invalid,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,,,[],[],covalent_event_evidence_source,allowed_covalent_evidence_classes,false,"{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}",true
CASE_006_type_bool,scalar_type,bool,bool:True,exact_tuple,"tuple:[""explicit_structure_bond_record"", ""explicit_curated_covalent_annotation""]",invalid,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,,,[],[],covalent_event_evidence_source,allowed_covalent_evidence_classes,false,"{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}",true
CASE_007_type_str_subclass,scalar_type,_StringSubclass,"str_subclass:""explicit_structure_bond_record""",exact_tuple,"tuple:[""explicit_structure_bond_record"", ""explicit_curated_covalent_annotation""]",invalid,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,,,[],[],covalent_event_evidence_source,allowed_covalent_evidence_classes,false,"{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}",true
CASE_008_type_list,scalar_type,list,"list:[""explicit_structure_bond_record""]",exact_tuple,"tuple:[""explicit_structure_bond_record"", ""explicit_curated_covalent_annotation""]",invalid,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,,,[],[],covalent_event_evidence_source,allowed_covalent_evidence_classes,false,"{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}",true
CASE_009_type_mapping,scalar_type,dict,"dict:{""value"": ""explicit_structure_bond_record""}",exact_tuple,"tuple:[""explicit_structure_bond_record"", ""explicit_curated_covalent_annotation""]",invalid,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,,,[],[],covalent_event_evidence_source,allowed_covalent_evidence_classes,false,"{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}",true
CASE_010_empty,empty_syntax,str,"""""",exact_tuple,"tuple:[""explicit_structure_bond_record"", ""explicit_curated_covalent_annotation""]",invalid,COVALENT_EVENT_EVIDENCE_SOURCE_EMPTY,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_EMPTY,,,[],[],covalent_event_evidence_source,allowed_covalent_evidence_classes,false,"{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_EMPTY"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_EMPTY"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_EMPTY"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}",true
