feature_name,feature_category,current_source,current_semantics_status,training_semantics_status,expected_current_value_or_policy,blocker_before_training,audit_comment,feature_semantics_contract_passed
sample_id,sample_identity,step13bh_sample_index,explicit_current_sample_row_identifier,not_training_ready_until_final_dataset_and_loader_gates,unique CovaPIE sample identifier,True,current semantics are documented; training semantics remain blocked until future finalization gates,True
extracted_event_id,event_identity,step13bh_sample_index,explicit_current_event_identifier,not_training_ready_until_event_key_semantics_finalized,event-level extracted covalent event id,True,current semantics are documented; training semantics remain blocked until future finalization gates,True
candidate_metadata_id,event_identity,step13bh_sample_index,explicit_current_candidate_identifier,not_training_ready_until candidate metadata semantics finalized,candidate metadata id from allowlist lineage,True,current semantics are documented; training semantics remain blocked until future finalization gates,True
pdb_id,event_identity,step13bh_sample_index,explicit_current_pdb_identifier,not_training_join_key_alone,PDB ID is not sufficient as event key alone,True,current semantics are documented; training semantics remain blocked until future finalization gates,True
het_code,ligand_identity,step13bh_sample_index,explicit_current_ligand_code,not_training_ready_until ligand identity semantics audited,ligand HET code,True,current semantics are documented; training semantics remain blocked until future finalization gates,True
chain_id,protein_identity,step13bh_sample_index,explicit_current_chain_identifier,not_training_ready_until event key semantics finalized,protein chain id,True,current semantics are documented; training semantics remain blocked until future finalization gates,True
residue_name,protein_identity,step13bh_sample_index,explicit_current_residue_name,not_training_ready_until residue semantics audited,covalent residue name,True,current semantics are documented; training semantics remain blocked until future finalization gates,True
residue_index,protein_identity,step13bh_sample_index,explicit_current_residue_index,not_training_ready_until residue numbering semantics audited,author residue index from extracted event,True,current semantics are documented; training semantics remain blocked until future finalization gates,True
residue_atom_name,protein_identity,step13bh_sample_index,explicit_current_residue_atom_name,not_training_ready_until reactive atom semantics audited,reactive residue atom name,True,current semantics are documented; training semantics remain blocked until future finalization gates,True
ligand_atom_name,ligand_identity,step13bh_sample_index,explicit_current_ligand_atom_name,not_training_ready_until ligand atom semantics audited,reactive ligand atom name,True,current semantics are documented; training semantics remain blocked until future finalization gates,True
covalent_bond_atom_pair,event_geometry,step13bh_sample_index,explicit_current_atom_pair_label,not_training_ready_until atom pair semantics audited,residue atom and ligand atom pair,True,current semantics are documented; training semantics remain blocked until future finalization gates,True
covalent_bond_distance_angstrom,event_geometry,step13be_extracted_event_table,post_covalent_distance_angstrom_present,requires_geometry_semantics_audit_before_training,distance in angstrom from extracted post-covalent structure,True,current semantics are documented; training semantics remain blocked until future finalization gates,True
protein_pocket_atom_table_path,source_path,step13bh_sample_index,derived_table_path_reference_only,not_training_input_current_step,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_protein_pocket_atom_table.csv,True,current semantics are documented; training semantics remain blocked until future finalization gates,True
