safety_item,expected_executed,observed_executed,safety_passed
exact_source_reads,true,true,true
phase4_runtime_contract_validation,true,true,true
canonical_admission_rule_validation,true,true,true
generic_atom_semantics_validation,true,true,true
admit_005_result_contract_implementation,true,true,true
admit_005_scalar_evaluator_implementation,true,true,true
residue_validation_implementation,true,true,true
generic_atom_validation_implementation,true,true,true
cys_sg_scope_classification_implementation,true,true,true
independent_semantic_oracle_attestation,true,true,true
synthetic_truth_matrix_evaluation,true,true,true
issue_inventory_preservation,true,true,true
raw_read,false,false,true
provenance_reference_dereference,false,false,true
parser_execution,false,false,true
provider_execution,false,false,true
candidate_record_projection,false,false,true
context_routing_implementation,false,false,true
unified_adapter_design,false,false,true
unified_adapter_implementation,false,false,true
phase4_runtime_modification,false,false,true
evaluator_registry_modification,false,false,true
admit_005_engine_registration,false,false,true
admit_006_to_015_evaluator_execution,false,false,true
evaluate_all_rules_implementation,false,false,true
combined_candidate_verdict_implementation,false,false,true
cross_rule_aggregation,false,false,true
candidate_record_materialization,false,false,true
real_candidate_evaluation,false,false,true
exact11_real_evaluation,false,false,true
admission_record_modification,false,false,true
sample_backfill,false,false,true
network,false,false,true
download,false,false,true
checkpoint,false,false,true
torch,false,false,true
numpy,false,false,true
rdkit,false,false,true
model_forward_loss_training,false,false,true
