contract_id,semantic_name,contract_scope,required_inputs,validation_rule,success_effect,failure_effect,reason_code,fails_closed,verified
INGEST_001,Exact26 review schema inherited unchanged,review_record,Exact26 typed record,field order and exact types match,schema admitted,record invalid,REVIEW_SCHEMA_MISMATCH,true,true
INGEST_002,completed decision required for ingestion,review_record,review_decision,decision is not not_reviewed,completion evaluated,batch blocked,REVIEW_NOT_COMPLETED,true,true
INGEST_003,review-record canonical digest required,review_record,Exact25 hash input,canonical digest matches,review identity admitted,record invalid,REVIEW_RECORD_SHA_INVALID,true,true
INGEST_004,Exact14 completed-review package identity join required,lineage,"immutable BASE authority context, package index, template, proposal, assignment and review",validated context rebuilds all Exact14 identity fields and source lineage joins exactly,lineage admitted,record invalid,REVIEW_IDENTITY_LINKAGE_MISMATCH,true,true
INGEST_005,submitted payload digest must match Exact26 record,envelope,typed Exact26 plus envelope,all-field payload digest matches,payload admitted,record invalid,SUBMITTED_REVIEW_PAYLOAD_SHA_MISMATCH,true,true
INGEST_006,human provenance attestation required,envelope,attestation and attestor,attested is exact true and human ID meaningful,provenance admitted,record invalid,HUMAN_PROVENANCE_ATTESTATION_REQUIRED,true,true
INGEST_007,select decision may reference eligible option only,decision,review and validated authority-context options,exact-one same-sample eligible formal option,select admitted,record invalid,SELECT_OPTION_NOT_REVIEW_ELIGIBLE,true,true
INGEST_008,revise decision must satisfy parent graph invariants,decision,review plus validated authority-context proposal and parent graph,connected proper subset and exact-one boundary,revise admitted,record invalid,REVISE_GRAPH_INVARIANT_INVALID,true,true
INGEST_009,quarantine produces no warhead/boundary authority,decision,quarantine review,disposition closed and both authorities false,quarantine disposition,record invalid,QUARANTINE_EFFECT_INVALID,true,true
INGEST_010,not-reviewed records are not ingestible completions,decision,not_reviewed record,completed submission is rejected,blank template remains legal,batch blocked,REVIEW_NOT_COMPLETED,true,true
INGEST_011,partial single-ID unique-sample batches are allowed,batch,one to eleven envelopes,exact-one meaningful batch ID plus unique sample and review SHA,partial batch evaluated,batch invalid,SUBMISSION_BATCH_ID_MISMATCH,true,true
INGEST_012,batch ingestion is atomic,batch,"all batch records, authority context, frozen reason precedence and result reason/effect contract",context and reason/effect failures close the batch and any failure rolls back all effects,all effects committed,all effects rolled back,BATCH_ATOMICITY_ABORTED,true,true
INGEST_013,exact replay is idempotent,replay,"validated context, existing decision evidence and submitted review","same sample/review SHA, package lineage, decision evidence and review semantics",passed without duplicate,replay invalid,EXISTING_AUTHORITY_LINEAGE_MISMATCH,true,true
INGEST_014,conflicting re-ingestion is blocked,replay,validated existing authority and submitted review,different review SHA conflicts; same SHA with invalid semantics or lineage is invalid,no conflict,batch blocked,CONFLICTING_REVIEW_REINGESTION,true,true
INGEST_015,V1 supersession is unavailable,authority,supersedes field,field is empty,V1 authority admitted,record invalid,V1_SUPERSESSION_UNAVAILABLE,true,true
INGEST_016,new and existing authorities preserve package lineage,authority,"validated context, package proposal review envelope and existing authority set","all identities, lineage hashes and decision evidence equal formal authority",authority traceable,record invalid,AUTHORITY_SOURCE_LINEAGE_MISMATCH,true,true
INGEST_017,boundary review does not approve family/rule/SMARTS/gold,downstream,decision effect,all approval effects remain false,boundary disposition only,transaction fails,PREMATURE_APPROVAL_OPENED,true,true
INGEST_018,role/mask/model/training gates remain closed,downstream,readiness state,role mask model training all false,downstream closed,transaction fails,DOWNSTREAM_GATE_OPENED,true,true
INGEST_019,design stage materializes no reviews/results/authority,design,artifact inventory and in-memory context contract,context is not externalized and all actual lifecycle counts are zero,design evidence emitted,transaction fails,DESIGN_MATERIALIZED_LIFECYCLE_RECORD,true,true
INGEST_020,formal training still requires feature-semantics audit,training,training prerequisite,feature-semantics audit remains required,training remains closed,transaction fails,FEATURE_SEMANTICS_AUDIT_REQUIRED,true,true
