contract_order,contract_section,section_order,public_name,formal_type,presence,default_or_absence,source_envelope,validation_rule,invariant,contract_passed
1,signature_parameter,1,download_result_status,object,required,future private _MISSING singleton,download_result_context,keyword-only; exact built-in str; success|failure,missing distinct from None/False/0/empty; no normalization,true
2,signature_parameter,2,observed_http_status,object,required,future private _MISSING singleton,download_result_context,keyword-only; exact built-in int; inclusive structural range 100..599,missing distinct from None/False/0/empty; no normalization,true
3,signature_parameter,3,observed_content_length_bytes,object,required,future private _MISSING singleton,download_result_context,keyword-only; exact built-in int; >= 0; zero structurally legal,missing distinct from None/False/0/empty; no normalization,true
4,signature_parameter,4,observed_sha256,object,required,future private _MISSING singleton,download_result_context,keyword-only; exact built-in str; ASCII lowercase [0-9a-f]{64},missing distinct from None/False/0/empty; no normalization,true
5,signature_parameter,5,expected_content_length_bytes,object,optional,future private _MISSING singleton means legal absence,evaluation_context,keyword-only; when present exact built-in int; >= 0; corroborating only,missing omitted from canonical/validated but still consumed during authority phase,true
6,signature_parameter,6,expected_sha256,object,optional,future private _MISSING singleton means legal absence,evaluation_context,keyword-only; when present exact built-in str; ASCII lowercase [0-9a-f]{64}; exact match is strong authority,missing omitted from canonical/validated but still consumed during authority phase,true
7,signature_parameter,7,explicit_integrity_verdict,object,optional,future private _MISSING singleton means legal absence,evaluation_context,keyword-only; when present exact built-in str; verified|failed; verified is strong authority,missing omitted from canonical/validated but still consumed during authority phase,true
8,result_field,1,admission_rule_id,exact str,required,not_applicable,standalone_evaluator_result,Exact12 ordered field,exact dataclass storage order; reconstructable in that order,true
9,result_field,2,outcome,exact str,required,not_applicable,standalone_evaluator_result,Exact12 ordered field,exact dataclass storage order; reconstructable in that order,true
10,result_field,3,passed,exact bool,required,not_applicable,standalone_evaluator_result,Exact12 ordered field,exact dataclass storage order; reconstructable in that order,true
11,result_field,4,blocks_candidate,exact bool,required,not_applicable,standalone_evaluator_result,Exact12 ordered field,exact dataclass storage order; reconstructable in that order,true
12,result_field,5,reason,exact str,required,not_applicable,standalone_evaluator_result,Exact12 ordered field,exact dataclass storage order; reconstructable in that order,true
