domain,case_id,input_condition,observed_current_behavior,evidence_path,evidence_symbol,checkpoint_width_effect,allowed_training_policy,policy_reason,fails_closed,verified
protein_or_pocket_atom,protein supported token,protein supported token,exact token maps to its committed 0-based one-hot channel,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers/CHECKPOINT_10D_ATOMIC_NUMBER_TO_INDEX,unchanged_10,unknown_atom_policy_unresolved,supported mapping is explicit,True,True
protein_or_pocket_atom,ligand supported token,ligand supported token,exact token maps to its committed 0-based one-hot channel,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers/CHECKPOINT_10D_ATOMIC_NUMBER_TO_INDEX,unchanged_10,unknown_atom_policy_unresolved,supported mapping is explicit,True,True
protein_or_pocket_atom,explicit unknown token,explicit unknown token,no dedicated unknown or other channel in checkpoint-compatible width 10,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers/CHECKPOINT_10D_ATOMIC_NUMBER_TO_INDEX,adding_channel_changes_10_to_11,unknown_atom_policy_unresolved,absence is explicit; adding a channel breaks checkpoint width,True,True
protein_or_pocket_atom,explicit other token,explicit other token,no dedicated unknown or other channel in checkpoint-compatible width 10,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers/CHECKPOINT_10D_ATOMIC_NUMBER_TO_INDEX,adding_channel_changes_10_to_11,unknown_atom_policy_unresolved,absence is explicit; adding a channel breaks checkpoint width,True,True
protein_or_pocket_atom,unsupported token,unsupported token,current Step12D helper silently emits an all-zero 10-vector,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers/CHECKPOINT_10D_ATOMIC_NUMBER_TO_INDEX,unchanged_10_but_semantically_unsafe,unknown_atom_policy_unresolved,silent zero-vector fallback is not an allowed final training policy,False,True
protein_or_pocket_atom,missing token,missing token,no integrated final-table-to-atomic-number contract; behavior unresolved,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers/CHECKPOINT_10D_ATOMIC_NUMBER_TO_INDEX,unknown,unknown_atom_policy_unresolved,missing/empty token handling is not frozen,False,True
protein_or_pocket_atom,empty token,empty token,no integrated final-table-to-atomic-number contract; behavior unresolved,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers/CHECKPOINT_10D_ATOMIC_NUMBER_TO_INDEX,unknown,unknown_atom_policy_unresolved,missing/empty token handling is not frozen,False,True
protein_or_pocket_atom,invalid type,invalid type,tensor/int conversion raises before a valid one-hot row exists,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers/CHECKPOINT_10D_ATOMIC_NUMBER_TO_INDEX,no_model_input,unknown_atom_policy_unresolved,invalid scalar type cannot silently select a channel,True,True
protein_or_pocket_atom,out-of-range index,out-of-range index,current Step12D helper silently emits an all-zero 10-vector,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers/CHECKPOINT_10D_ATOMIC_NUMBER_TO_INDEX,unchanged_10_but_semantically_unsafe,unknown_atom_policy_unresolved,silent zero-vector fallback is not an allowed final training policy,False,True
protein_or_pocket_atom,negative index,negative index,current Step12D helper silently emits an all-zero 10-vector,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers/CHECKPOINT_10D_ATOMIC_NUMBER_TO_INDEX,unchanged_10_but_semantically_unsafe,unknown_atom_policy_unresolved,silent zero-vector fallback is not an allowed final training policy,False,True
protein_or_pocket_atom,silent carbon fallback,silent carbon fallback,not observed in committed checkpoint helper,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers/CHECKPOINT_10D_ATOMIC_NUMBER_TO_INDEX,unchanged_10,unknown_atom_policy_unresolved,formal evaluator rejects either proposed fallback,True,True
protein_or_pocket_atom,silent zero-vector fallback,silent zero-vector fallback,current Step12D helper silently emits an all-zero 10-vector,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers/CHECKPOINT_10D_ATOMIC_NUMBER_TO_INDEX,unchanged_10_but_semantically_unsafe,unknown_atom_policy_unresolved,silent zero-vector fallback is not an allowed final training policy,False,True
