selection_rule,rule_value,current_phase_policy,future_batch_smoke_policy,blocking_if_violated,rationale,design_contract_passed
max_candidate_count_initial_smoke,30,hard_limit,process_at_most_30,True,keep smoke bounded,True
min_candidate_count_initial_smoke,10,target_floor,aim_for_at_least_10,False,exercise batch behavior,True
cys_sg_only_scope,true,hard_requirement,cys_sg_only,True,current validated chemistry scope,True
known_restoration_template_required,true,hard_requirement,require_template,True,avoid unreviewed restoration,True
covalent_ligand_topology_required,true,hard_requirement,require_topology,True,adapter shape dependency,True
pocket_evidence_required,true,hard_requirement,require_pocket_evidence,True,protein input dependency,True
ligand_group_labels_required,true,hard_requirement,require_group_labels,True,mask task dependency,True
endpoint_atom_pair_required,true,hard_requirement,require_endpoint_pair,True,covalent anchor dependency,True
canonical_mask_five_tasks_required,true,hard_requirement,require_five_tasks,True,preserve V1 mask set,True
non_cys_excluded_current_phase,true,hard_requirement,exclude_non_cys,True,no generalization yet,True
duplicate_pdb_ligand_policy,deduplicate_by_pdb_ligand_residue,design_rule,skip_duplicate,True,avoid leakage,True
manual_review_required_for_uncertain_samples,true,hard_requirement,manual_review,True,keep evidence auditable,True
